19,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-01-31 17:17:00,1
2019-01-31 17:18:00,1
2019-01-31 17:30:00,1
2019-01-31 17:39:00,1
2019-01-31 17:47:00,1
2019-01-31 17:53:00,1
2019-01-31 17:57:00,1
2019-01-31 17:58:00,1
2019-01-31 18:00:00,1
2019-01-31 18:03:00,1
2019-01-31 18:05:00,1
2019-01-31 18:06:00,2
2019-01-31 18:07:00,1
2019-01-31 18:08:00,3
2019-01-31 18:10:00,1
2019-01-31 18:11:00,1
