135,"SELECT p.ra,p.dec,p.raErr,p.decErr,p.objId,p.run,p.rerun,p.camcol,p.field,dbo.fPhotoModeN(mode) as mode,nChild,dbo.fPhotoTypeN(p.type) as type,clean,flags,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,mjd from PhotoObj as p JOIN dbo.fGetObjFromRectEq(#,#,#,#) AS R ON P.objID=R.objID"
2019-01-31 02:19:00,1
2019-01-31 18:25:00,1
2019-01-31 19:29:00,3
2019-01-31 19:36:00,5
2019-01-31 19:37:00,5
2019-01-31 19:38:00,3
2019-01-31 19:39:00,2
2019-01-31 19:40:00,5
2019-01-31 19:41:00,2
2019-01-31 19:42:00,2
2019-01-31 19:43:00,2
2019-01-31 19:44:00,4
2019-01-31 19:45:00,2
2019-01-31 19:47:00,4
2019-01-31 19:48:00,1
2019-01-31 19:50:00,3
2019-01-31 19:51:00,2
2019-01-31 19:52:00,1
2019-01-31 19:53:00,4
2019-01-31 19:54:00,1
2019-01-31 19:57:00,3
2019-01-31 19:59:00,1
2019-01-31 20:00:00,3
2019-01-31 20:01:00,3
2019-01-31 20:03:00,1
2019-01-31 20:04:00,1
2019-01-31 20:33:00,1
2019-01-31 20:35:00,3
2019-01-31 20:36:00,1
2019-01-31 20:37:00,1
2019-01-31 20:38:00,3
2019-01-31 20:39:00,2
2019-01-31 20:40:00,1
2019-01-31 20:41:00,2
2019-01-31 20:43:00,1
2019-01-31 20:44:00,1
2019-01-31 20:45:00,2
2019-01-31 20:48:00,1
2019-01-31 20:49:00,6
2019-01-31 20:50:00,1
2019-01-31 20:51:00,1
2019-01-31 20:53:00,1
2019-01-31 20:54:00,1
2019-01-31 20:56:00,1
2019-01-31 20:57:00,2
2019-01-31 20:58:00,1
2019-01-31 21:02:00,1
2019-01-31 21:03:00,1
2019-01-31 21:05:00,1
2019-01-31 21:10:00,1
2019-01-31 21:29:00,1
2019-01-31 21:30:00,4
2019-01-31 21:31:00,2
2019-01-31 21:32:00,2
2019-01-31 21:33:00,2
2019-01-31 21:34:00,1
2019-01-31 21:35:00,1
2019-01-31 21:36:00,3
2019-01-31 21:37:00,2
2019-01-31 21:39:00,4
2019-01-31 21:41:00,1
2019-01-31 21:42:00,1
2019-01-31 21:43:00,2
2019-01-31 21:44:00,1
2019-01-31 21:47:00,1
2019-01-31 21:48:00,1
2019-01-31 21:49:00,1
2019-01-31 21:50:00,1
2019-01-31 21:54:00,1
2019-01-31 22:59:00,1
