13,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-01-31 05:53:00,1
2019-01-31 07:05:00,1
2019-01-31 07:06:00,1
2019-01-31 16:00:00,1
2019-01-31 16:07:00,1
2019-01-31 16:12:00,1
2019-01-31 17:22:00,1
2019-01-31 17:25:00,4
2019-01-31 19:43:00,1
2019-01-31 20:58:00,1
