43,"SELECT DISTINCT p.mode, p.clean, p.type, p.type_i, p.ra, p.dec, p.petroRad_i, p.deVRad_i, p.deVAB_i, p.deVPhi_i, p.expRad_i, p.expPhi_i, p.lnLExp_i, p.lnLDeV_i, psfMag_i FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-02 04:26:00,2
2019-05-02 04:27:00,2
2019-05-02 04:28:00,2
2019-05-02 04:29:00,2
2019-05-02 04:30:00,1
2019-05-02 04:31:00,3
2019-05-02 04:32:00,2
2019-05-02 04:33:00,3
2019-05-02 04:34:00,2
2019-05-02 04:35:00,3
2019-05-02 04:36:00,2
2019-05-02 04:37:00,3
2019-05-02 04:38:00,3
2019-05-02 04:39:00,2
2019-05-02 04:40:00,3
2019-05-02 04:41:00,2
2019-05-02 04:42:00,3
2019-05-02 04:43:00,3
