1696,"SELECT DISTINCT p.mode, p.clean, p.type, p.type_i, p.ra, p.dec, p.petroRad_i, p.deVRad_i, p.deVAB_i, p.deVPhi_i, p.expRad_i, p.expAB_i, p.expPhi_i, p.lnLExp_i, p.lnLDeV_i, psfMag_i FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-02 11:43:00,5
2019-05-02 11:44:00,5
2019-05-02 11:45:00,5
2019-05-02 11:46:00,4
2019-05-02 11:47:00,1
2019-05-02 11:48:00,4
2019-05-02 11:49:00,5
2019-05-02 11:50:00,3
2019-05-02 11:51:00,5
2019-05-02 11:52:00,4
2019-05-02 11:53:00,4
2019-05-02 11:54:00,4
2019-05-02 11:55:00,3
2019-05-02 11:56:00,4
2019-05-02 11:58:00,3
2019-05-02 11:59:00,4
2019-05-02 12:00:00,4
2019-05-02 12:01:00,4
2019-05-02 12:02:00,4
2019-05-02 12:03:00,4
2019-05-02 12:04:00,5
2019-05-02 12:05:00,3
2019-05-02 12:06:00,4
2019-05-02 12:07:00,5
2019-05-02 12:08:00,5
2019-05-02 12:09:00,4
2019-05-02 12:10:00,5
2019-05-02 12:11:00,4
2019-05-02 12:12:00,5
2019-05-02 12:13:00,3
2019-05-02 13:06:00,1
2019-05-02 13:55:00,1
2019-05-02 20:59:00,3
2019-05-02 21:00:00,3
2019-05-02 21:01:00,2
2019-05-02 21:02:00,3
2019-05-02 21:03:00,3
2019-05-02 21:04:00,2
2019-05-02 21:05:00,3
2019-05-02 21:06:00,2
2019-05-02 21:07:00,3
2019-05-02 21:08:00,3
2019-05-02 21:09:00,3
2019-05-02 21:10:00,3
2019-05-02 21:11:00,2
2019-05-02 21:12:00,3
2019-05-02 21:13:00,3
2019-05-02 21:14:00,3
2019-05-02 21:15:00,2
2019-05-02 21:16:00,3
2019-05-02 21:17:00,3
2019-05-02 21:18:00,3
2019-05-02 21:19:00,3
2019-05-02 21:20:00,3
2019-05-02 21:21:00,3
2019-05-02 21:22:00,3
2019-05-02 21:23:00,3
2019-05-02 21:24:00,3
2019-05-02 21:25:00,3
2019-05-02 21:26:00,3
2019-05-02 21:27:00,3
2019-05-02 21:28:00,3
2019-05-02 21:29:00,3
2019-05-02 21:30:00,2
2019-05-02 21:31:00,3
2019-05-02 21:32:00,3
2019-05-02 21:33:00,3
2019-05-02 21:34:00,2
2019-05-02 21:35:00,3
2019-05-02 21:36:00,3
2019-05-02 21:37:00,3
2019-05-02 21:38:00,3
2019-05-02 21:39:00,3
2019-05-02 21:40:00,2
2019-05-02 21:41:00,3
2019-05-02 21:42:00,3
2019-05-02 21:43:00,3
2019-05-02 21:44:00,3
2019-05-02 21:45:00,2
2019-05-02 21:46:00,3
2019-05-02 21:47:00,3
2019-05-02 21:48:00,3
2019-05-02 21:49:00,2
2019-05-02 21:50:00,3
2019-05-02 21:51:00,3
2019-05-02 21:52:00,3
2019-05-02 21:53:00,2
2019-05-02 21:54:00,3
2019-05-02 21:55:00,3
2019-05-02 21:56:00,3
2019-05-02 21:57:00,3
2019-05-02 21:58:00,2
2019-05-02 21:59:00,3
2019-05-02 22:00:00,3
2019-05-02 22:01:00,3
2019-05-02 22:02:00,2
2019-05-02 22:03:00,3
2019-05-02 22:04:00,3
2019-05-02 22:05:00,3
2019-05-02 22:06:00,3
2019-05-02 22:07:00,3
2019-05-02 22:08:00,2
2019-05-02 22:09:00,3
2019-05-02 22:10:00,3
2019-05-02 22:11:00,2
2019-05-02 22:12:00,3
2019-05-02 22:13:00,3
2019-05-02 22:14:00,3
2019-05-02 22:15:00,3
2019-05-02 22:16:00,2
2019-05-02 22:17:00,2
2019-05-02 22:18:00,2
2019-05-02 22:19:00,3
2019-05-02 22:20:00,3
2019-05-02 22:21:00,3
2019-05-02 22:22:00,2
2019-05-02 22:23:00,3
2019-05-02 22:24:00,2
2019-05-02 22:25:00,3
2019-05-02 22:26:00,2
2019-05-02 22:27:00,3
2019-05-02 22:28:00,3
2019-05-02 22:29:00,3
2019-05-02 22:30:00,3
2019-05-02 22:31:00,2
2019-05-02 22:32:00,2
2019-05-02 22:33:00,3
2019-05-02 22:34:00,3
2019-05-02 22:35:00,3
2019-05-02 22:36:00,3
2019-05-02 22:37:00,3
2019-05-02 22:38:00,3
2019-05-02 22:39:00,2
2019-05-02 22:40:00,3
2019-05-02 22:41:00,3
2019-05-02 22:42:00,3
2019-05-02 22:43:00,4
2019-05-02 22:44:00,3
2019-05-02 22:45:00,2
2019-05-02 22:46:00,3
2019-05-02 22:47:00,3
2019-05-02 22:48:00,3
2019-05-02 22:49:00,3
2019-05-02 22:50:00,3
2019-05-02 22:51:00,3
2019-05-02 22:52:00,2
2019-05-02 22:53:00,3
2019-05-02 22:54:00,3
2019-05-02 22:55:00,3
2019-05-02 22:56:00,3
2019-05-02 22:57:00,4
2019-05-02 22:58:00,3
2019-05-02 22:59:00,2
2019-05-02 23:00:00,2
2019-05-02 23:01:00,3
2019-05-02 23:02:00,3
2019-05-02 23:03:00,3
2019-05-02 23:04:00,3
2019-05-02 23:05:00,3
2019-05-02 23:06:00,3
2019-05-02 23:07:00,1
2019-05-02 23:08:00,4
2019-05-02 23:09:00,3
2019-05-02 23:10:00,3
2019-05-02 23:11:00,3
2019-05-02 23:12:00,4
2019-05-02 23:13:00,3
2019-05-02 23:15:00,1
2019-05-02 23:17:00,2
2019-05-02 23:18:00,1
2019-05-02 23:22:00,1
2019-05-02 23:25:00,3
2019-05-02 23:26:00,3
2019-05-02 23:27:00,3
2019-05-02 23:28:00,3
2019-05-02 23:29:00,4
2019-05-02 23:30:00,3
2019-05-02 23:31:00,1
2019-05-02 23:33:00,1
2019-05-02 23:34:00,1
2019-05-02 23:36:00,1
2019-05-02 23:38:00,3
2019-05-02 23:39:00,4
2019-05-02 23:40:00,3
2019-05-02 23:41:00,3
2019-05-02 23:42:00,3
2019-05-02 23:43:00,4
2019-05-02 23:44:00,3
2019-05-02 23:45:00,3
2019-05-02 23:46:00,3
2019-05-02 23:47:00,4
2019-05-02 23:48:00,3
2019-05-02 23:49:00,2
2019-05-02 23:50:00,3
2019-05-02 23:51:00,4
2019-05-02 23:52:00,3
2019-05-02 23:53:00,4
2019-05-02 23:54:00,3
2019-05-02 23:55:00,3
2019-05-02 23:56:00,4
2019-05-02 23:57:00,3
2019-05-02 23:58:00,3
2019-05-02 23:59:00,2
