72,"select q.CPS, q.HR1,q.HR2,q.EXT from ROSAT q where q.OBJID=#"
2019-05-02 14:09:00,1
2019-05-02 14:25:00,1
2019-05-02 14:49:00,1
2019-05-02 14:50:00,4
2019-05-02 14:51:00,4
2019-05-02 14:52:00,1
2019-05-02 15:14:00,1
2019-05-02 15:23:00,1
2019-05-02 15:24:00,1
2019-05-02 15:27:00,1
2019-05-02 17:24:00,2
2019-05-02 17:27:00,3
2019-05-02 17:31:00,4
2019-05-02 17:32:00,3
2019-05-02 17:36:00,9
2019-05-02 17:37:00,9
2019-05-02 17:40:00,3
2019-05-02 17:41:00,7
2019-05-02 17:46:00,1
2019-05-02 17:50:00,4
2019-05-02 17:52:00,5
2019-05-02 17:54:00,6
