37,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-05-24 00:55:00,7
2019-05-24 00:56:00,3
2019-05-24 02:50:00,1
2019-05-24 04:54:00,1
2019-05-24 04:55:00,1
2019-05-24 05:25:00,1
2019-05-24 08:15:00,3
2019-05-24 08:16:00,7
2019-05-24 08:37:00,1
2019-05-24 09:18:00,1
2019-05-24 09:46:00,1
2019-05-24 09:47:00,3
2019-05-24 11:24:00,1
2019-05-24 12:10:00,2
2019-05-24 14:45:00,1
2019-05-24 19:59:00,1
2019-05-24 21:02:00,1
2019-05-24 23:18:00,1
