1417,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-24 12:35:00,64
2019-05-24 12:45:00,88
2019-05-24 12:46:00,30
2019-05-24 12:54:00,55
2019-05-24 12:55:00,105
2019-05-24 12:56:00,13
2019-05-24 13:00:00,40
2019-05-24 13:13:00,84
2019-05-24 13:14:00,89
2019-05-24 13:24:00,77
2019-05-24 17:55:00,17
2019-05-24 17:59:00,29
2019-05-24 18:12:00,154
2019-05-24 18:13:00,132
2019-05-24 18:16:00,74
2019-05-24 18:38:00,12
2019-05-24 18:59:00,16
2019-05-24 19:00:00,16
2019-05-24 19:01:00,40
2019-05-24 19:02:00,20
2019-05-24 19:26:00,26
2019-05-24 19:27:00,18
2019-05-24 19:31:00,13
2019-05-24 19:36:00,93
2019-05-24 20:01:00,53
2019-05-24 20:03:00,12
2019-05-24 20:04:00,47
