2,"SELECT obj, ra, dec, u, g, r, i, z FROM PhotoObj WHERE ra BETWEEN #:#:# AND #:#:# AND dec BETWEEN #:#:# AND #:#:#"
2019-05-24 22:40:00,1
2019-05-24 22:42:00,1
