31,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-12-09 02:10:00,1
2019-12-09 02:16:00,1
2019-12-09 02:20:00,2
2019-12-09 02:21:00,1
2019-12-09 02:24:00,1
2019-12-09 02:55:00,1
2019-12-09 03:41:00,1
2019-12-09 03:50:00,1
2019-12-09 03:51:00,1
2019-12-09 05:26:00,1
2019-12-09 05:28:00,1
2019-12-09 05:30:00,1
2019-12-09 06:59:00,1
2019-12-09 15:27:00,1
2019-12-09 15:38:00,1
2019-12-09 15:41:00,1
2019-12-09 15:43:00,2
2019-12-09 15:44:00,1
2019-12-09 15:46:00,1
2019-12-09 15:57:00,1
2019-12-09 16:03:00,1
2019-12-09 16:12:00,1
2019-12-09 16:13:00,1
2019-12-09 16:14:00,1
2019-12-09 16:41:00,1
2019-12-09 20:15:00,1
2019-12-09 20:16:00,1
2019-12-09 20:29:00,2
