105,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n  where p.objId=n.objId"
2019-12-09 00:45:00,1
2019-12-09 01:24:00,1
2019-12-09 01:45:00,1
2019-12-09 02:45:00,1
2019-12-09 02:53:00,1
2019-12-09 03:34:00,9
2019-12-09 03:46:00,1
2019-12-09 04:45:00,1
2019-12-09 04:56:00,9
2019-12-09 05:25:00,1
2019-12-09 05:26:00,1
2019-12-09 05:45:00,1
2019-12-09 05:55:00,1
2019-12-09 06:45:00,1
2019-12-09 07:18:00,1
2019-12-09 07:33:00,1
2019-12-09 07:45:00,1
2019-12-09 07:46:00,1
2019-12-09 07:50:00,1
2019-12-09 08:08:00,1
2019-12-09 08:17:00,1
2019-12-09 08:25:00,1
2019-12-09 08:41:00,1
2019-12-09 08:44:00,1
2019-12-09 09:03:00,1
2019-12-09 09:09:00,1
2019-12-09 09:12:00,1
2019-12-09 09:37:00,9
2019-12-09 09:45:00,1
2019-12-09 10:07:00,3
2019-12-09 10:46:00,1
2019-12-09 10:50:00,6
2019-12-09 10:51:00,3
2019-12-09 11:45:00,1
2019-12-09 12:06:00,1
2019-12-09 12:07:00,1
2019-12-09 12:45:00,1
2019-12-09 13:01:00,1
2019-12-09 13:08:00,1
2019-12-09 13:12:00,1
2019-12-09 13:19:00,1
2019-12-09 13:22:00,1
2019-12-09 13:45:00,1
2019-12-09 14:45:00,1
2019-12-09 15:30:00,1
2019-12-09 15:36:00,9
2019-12-09 15:39:00,1
2019-12-09 15:45:00,1
2019-12-09 15:47:00,1
2019-12-09 15:50:00,1
2019-12-09 15:52:00,1
2019-12-09 15:53:00,1
2019-12-09 16:45:00,1
2019-12-09 17:44:00,9
2019-12-09 17:46:00,1
2019-12-09 18:45:00,1
