2,"SELECT TOP # psfMag_u, psfMag_g, psfMag_r, psfMag_z, psfMag_i, z  FROM PhotoObjAll WHERE (class = qso)"
2019-12-09 22:09:00,1
2019-12-09 22:10:00,1
