27,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-12-09 00:09:00,1
2019-12-09 00:14:00,1
2019-12-09 00:46:00,1
2019-12-09 01:58:00,1
2019-12-09 05:47:00,1
2019-12-09 05:52:00,1
2019-12-09 05:58:00,1
2019-12-09 06:02:00,1
2019-12-09 10:54:00,1
2019-12-09 10:56:00,1
2019-12-09 10:58:00,1
2019-12-09 11:00:00,1
2019-12-09 14:57:00,1
2019-12-09 17:09:00,1
2019-12-09 17:13:00,1
2019-12-09 17:16:00,1
2019-12-09 17:17:00,1
2019-12-09 17:19:00,1
2019-12-09 18:28:00,2
2019-12-09 18:30:00,2
2019-12-09 18:32:00,1
2019-12-09 19:55:00,1
2019-12-09 21:26:00,1
2019-12-09 21:35:00,1
2019-12-09 23:25:00,1
