20,"SELECT TOP # p.objid,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g, p.r, p.i, p.z,  p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z  FROM fGetObjFromRect(#,#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID"
2019-12-09 04:09:00,1
2019-12-09 04:10:00,1
2019-12-09 04:12:00,1
2019-12-09 04:14:00,6
2019-12-09 04:16:00,1
2019-12-09 04:18:00,2
2019-12-09 04:20:00,1
2019-12-09 04:22:00,1
2019-12-09 04:33:00,1
2019-12-09 04:37:00,1
2019-12-09 04:41:00,1
2019-12-09 04:53:00,1
2019-12-09 04:56:00,1
2019-12-09 16:22:00,1
