182,"SELECT * FROM dbo.fFootprintEq( #,#,#)"
2019-12-09 06:20:00,2
2019-12-09 18:01:00,5
2019-12-09 18:02:00,5
2019-12-09 18:03:00,6
2019-12-09 18:04:00,2
2019-12-09 18:14:00,4
2019-12-09 18:15:00,2
2019-12-09 18:16:00,8
2019-12-09 18:17:00,4
2019-12-09 18:18:00,4
2019-12-09 18:19:00,4
2019-12-09 18:20:00,4
2019-12-09 18:21:00,4
2019-12-09 18:23:00,5
2019-12-09 18:24:00,5
2019-12-09 18:25:00,4
2019-12-09 18:26:00,4
2019-12-09 18:27:00,4
2019-12-09 18:28:00,4
2019-12-09 18:29:00,4
2019-12-09 18:30:00,1
2019-12-09 18:31:00,1
2019-12-09 18:32:00,4
2019-12-09 18:33:00,4
2019-12-09 18:34:00,4
2019-12-09 18:35:00,2
2019-12-09 18:36:00,4
2019-12-09 18:37:00,4
2019-12-09 18:38:00,8
2019-12-09 18:39:00,6
2019-12-09 18:40:00,4
2019-12-09 18:41:00,6
2019-12-09 18:42:00,2
2019-12-09 18:43:00,4
2019-12-09 18:44:00,3
2019-12-09 18:45:00,5
2019-12-09 18:47:00,4
2019-12-09 18:48:00,4
2019-12-09 18:49:00,4
2019-12-09 18:50:00,6
2019-12-09 18:51:00,4
2019-12-09 18:52:00,3
2019-12-09 18:53:00,5
2019-12-09 18:54:00,4
2019-12-09 18:55:00,2
