103,"select s.z,s.ra,s.dec as redshift into mydb.dr1#_jun1#_#_#_# from galaxy p, specobj s, dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and s.z BETWEEN # AND #"
2019-06-13 18:28:00,2
2019-06-13 18:29:00,2
2019-06-13 18:30:00,1
2019-06-13 18:38:00,1
2019-06-13 18:39:00,2
2019-06-13 18:40:00,2
2019-06-13 18:41:00,2
2019-06-13 18:42:00,2
2019-06-13 18:44:00,2
2019-06-13 18:45:00,2
2019-06-13 18:46:00,2
2019-06-13 18:47:00,2
2019-06-13 18:48:00,2
2019-06-13 18:49:00,1
2019-06-13 18:50:00,2
2019-06-13 18:51:00,2
2019-06-13 18:52:00,3
2019-06-13 18:53:00,1
2019-06-13 18:56:00,2
2019-06-13 18:57:00,3
2019-06-13 18:58:00,3
2019-06-13 18:59:00,3
2019-06-13 19:00:00,3
2019-06-13 19:03:00,2
2019-06-13 19:04:00,3
2019-06-13 19:05:00,3
2019-06-13 19:06:00,3
2019-06-13 19:07:00,3
2019-06-13 19:08:00,4
2019-06-13 19:13:00,2
2019-06-13 19:14:00,4
2019-06-13 19:15:00,1
2019-06-13 19:16:00,3
2019-06-13 19:17:00,2
2019-06-13 19:18:00,3
2019-06-13 19:19:00,2
2019-06-13 19:20:00,2
2019-06-13 19:21:00,4
2019-06-13 19:22:00,2
2019-06-13 19:24:00,1
2019-06-13 19:28:00,4
2019-06-13 19:29:00,3
2019-06-13 19:30:00,3
2019-06-13 19:31:00,2
