403,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-13 12:33:00,36
2019-06-13 12:34:00,12
2019-06-13 12:35:00,8
2019-06-13 12:37:00,17
2019-06-13 12:38:00,26
2019-06-13 12:39:00,56
2019-06-13 12:40:00,14
2019-06-13 12:41:00,20
2019-06-13 12:42:00,10
2019-06-13 12:46:00,45
2019-06-13 12:47:00,13
2019-06-13 12:49:00,10
2019-06-13 12:50:00,9
2019-06-13 12:53:00,12
2019-06-13 12:56:00,11
2019-06-13 12:58:00,6
2019-06-13 13:02:00,83
2019-06-13 13:05:00,15
