62,"SELECT g.objid,g.ra,g.dec,p.z,p.zErr,q.u,q.g,q.r,q.i,q.z FROM GALAXY as g JOIN PhotoZ as p ON p.objID = g.ObjID JOIN PhotoObjAll as q ON q.objID = g.objID WHERE (g.ra between # and #) and (g.dec between # and #)"
2019-06-13 01:52:00,1
2019-06-13 13:00:00,1
2019-06-13 13:01:00,5
2019-06-13 13:03:00,3
2019-06-13 13:04:00,4
2019-06-13 13:05:00,4
2019-06-13 13:07:00,13
2019-06-13 13:09:00,7
2019-06-13 13:12:00,2
2019-06-13 14:54:00,2
2019-06-13 14:57:00,1
2019-06-13 16:08:00,2
2019-06-13 17:24:00,2
2019-06-13 17:41:00,1
2019-06-13 17:49:00,1
2019-06-13 17:50:00,1
2019-06-13 20:10:00,2
2019-06-13 20:14:00,1
2019-06-13 20:22:00,1
2019-06-13 20:27:00,2
2019-06-13 20:30:00,1
2019-06-13 20:32:00,1
2019-06-13 20:35:00,1
2019-06-13 20:37:00,1
2019-06-13 20:42:00,1
2019-06-13 20:45:00,1
