340,"select ObjID,ra,dec,dbo.fIAUFromEq(ra,dec) FROM PhotoObj WHERE ObjID=#"
2019-05-15 18:09:00,2
2019-05-15 18:38:00,1
2019-05-15 18:41:00,3
2019-05-15 18:42:00,4
2019-05-15 18:43:00,3
2019-05-15 18:47:00,7
2019-05-15 18:48:00,4
2019-05-15 18:49:00,12
2019-05-15 18:50:00,8
2019-05-15 18:52:00,14
2019-05-15 18:53:00,14
2019-05-15 18:54:00,14
2019-05-15 18:55:00,28
2019-05-15 18:57:00,2
2019-05-15 18:58:00,5
2019-05-15 18:59:00,1
2019-05-15 19:01:00,29
2019-05-15 19:03:00,2
2019-05-15 19:04:00,1
2019-05-15 20:12:00,30
2019-05-15 20:14:00,15
2019-05-15 20:15:00,31
2019-05-15 20:16:00,30
2019-05-15 20:17:00,15
2019-05-15 20:18:00,45
2019-05-15 20:19:00,15
2019-05-15 20:20:00,5
