433,"SELECT p.ra, p.dec, p.cmodelFlux_u, p.cmodelFlux_g, p.cmodelFlux_r, p.cmodelFlux_i, p.cmodelFlux_z, p.cmodelFluxIvar_u, p.cmodelFluxIvar_g, p.cmodelFluxIvar_r, p.cmodelFluxIvar_i, p.cmodelFluxIvar_z, d.w1flux, d.w2flux, d.w3flux, d.w4flux, d.w1sigflux, d.w2sigflux, d.w3sigflux, d.w4sigflux FROM PhotoObjAll AS p JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON p.objID = GN.objID LEFT JOIN WISE_xmatch as c on p.ObjID=c.sdss_objid LEFT JOIN WISE_allsky as d on c.wise_cntr=d.cntr"
2019-05-15 19:05:00,4
2019-05-15 19:06:00,5
2019-05-15 19:07:00,4
2019-05-15 19:08:00,1
2019-05-15 19:09:00,3
2019-05-15 19:10:00,8
2019-05-15 19:11:00,7
2019-05-15 19:12:00,9
2019-05-15 19:13:00,6
2019-05-15 19:14:00,2
2019-05-15 19:15:00,9
2019-05-15 19:16:00,9
2019-05-15 19:17:00,5
2019-05-15 19:18:00,3
2019-05-15 19:19:00,7
2019-05-15 19:20:00,6
2019-05-15 19:21:00,7
2019-05-15 19:22:00,5
2019-05-15 19:23:00,7
2019-05-15 19:24:00,4
2019-05-15 19:25:00,6
2019-05-15 19:26:00,8
2019-05-15 19:27:00,7
2019-05-15 19:28:00,6
2019-05-15 19:29:00,7
2019-05-15 19:30:00,9
2019-05-15 19:31:00,8
2019-05-15 19:32:00,7
2019-05-15 19:33:00,6
2019-05-15 19:34:00,7
2019-05-15 19:35:00,8
2019-05-15 19:36:00,9
2019-05-15 19:37:00,6
2019-05-15 19:38:00,9
2019-05-15 19:39:00,10
2019-05-15 19:40:00,5
2019-05-15 19:41:00,9
2019-05-15 19:42:00,11
2019-05-15 19:43:00,6
2019-05-15 19:44:00,5
2019-05-15 19:45:00,6
2019-05-15 19:46:00,7
2019-05-15 19:47:00,8
2019-05-15 19:48:00,7
2019-05-15 19:49:00,6
2019-05-15 19:50:00,10
2019-05-15 19:51:00,7
2019-05-15 19:52:00,6
2019-05-15 19:53:00,10
2019-05-15 19:54:00,7
2019-05-15 19:55:00,8
2019-05-15 19:56:00,10
2019-05-15 19:57:00,11
2019-05-15 19:58:00,5
2019-05-15 19:59:00,9
2019-05-15 20:00:00,9
2019-05-15 20:01:00,5
2019-05-15 20:02:00,8
2019-05-15 20:03:00,10
2019-05-15 20:04:00,11
2019-05-15 20:05:00,11
2019-05-15 20:06:00,2
