3,"SELECT p.ObjID, p.dered_g, p.dered_r, s.VelDisp INTO KIM_# FROM PhotoObj p, SpecObj s WHERE p.specobjid = s.specobjid"
2019-05-15 06:28:00,1
2019-05-15 06:29:00,2
