632,"SELECT objID,parentID,specObjID,ra,dec,petroRadErru,petroRadErrg,petroRadErrr,petroRadErri,petroRadErrz,petroR9#Erru,petroR9#Errg,petroR9#Errr,petroR9#Erri,petroR9#Errz,petroR5#Erru,petroR5#Errg,petroR5#Errr,petroR5#Erri,petroR5#Errz,expRadErru,expRadErrg,expRadErrr,expRadErri,expRadErrz FROM photoObjAll WHERE objID=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=# OR objid=#"
2019-05-15 13:32:00,60
2019-05-15 13:33:00,60
2019-05-15 13:34:00,60
2019-05-15 13:35:00,60
2019-05-15 13:36:00,59
2019-05-15 13:37:00,60
2019-05-15 13:38:00,60
2019-05-15 13:39:00,60
2019-05-15 13:40:00,60
2019-05-15 13:41:00,57
2019-05-15 13:42:00,36
