85,"select top # sp.objid, sp.ra, sp.dec, sp.p_el, sp.p_cw, sp.p_acw, sp.elliptical, sp.spiral, sp.nvote, xp.mE1_u, xp.mE1_g, xp.mE1_r, xp.mE1_i, xp.mE1_z, xp.mE2_u, xp.mE2_g, xp.mE2_r, xp.mE2_i, xp.mE2_z from dbo.zooSpec As sp Join dbo.Galaxy as xp On sp.objid=xp.objid where (nvote > #) and (elliptical=# or spiral=#)"
2019-05-15 12:29:00,1
2019-05-15 12:39:00,1
2019-05-15 12:42:00,2
2019-05-15 12:44:00,2
2019-05-15 12:45:00,2
2019-05-15 12:48:00,4
2019-05-15 12:55:00,1
2019-05-15 13:16:00,2
2019-05-15 13:22:00,4
2019-05-15 13:24:00,2
2019-05-15 13:25:00,2
2019-05-15 13:27:00,2
2019-05-15 14:22:00,2
2019-05-15 14:35:00,2
2019-05-15 14:36:00,2
2019-05-15 14:40:00,1
2019-05-15 14:41:00,1
2019-05-15 14:45:00,2
2019-05-15 14:49:00,2
2019-05-15 14:51:00,2
2019-05-15 14:53:00,2
2019-05-15 14:54:00,6
2019-05-15 14:55:00,2
2019-05-15 15:08:00,2
2019-05-15 15:09:00,2
2019-05-15 15:10:00,6
2019-05-15 15:11:00,4
2019-05-15 15:12:00,2
2019-05-15 15:14:00,2
2019-05-15 15:15:00,2
2019-05-15 15:17:00,4
2019-05-15 15:19:00,6
2019-05-15 15:35:00,2
2019-05-15 16:03:00,1
2019-05-15 16:04:00,1
2019-05-15 16:23:00,1
2019-05-15 16:24:00,1
