14,"select yy, mm, dd, hh, mi, ss,  logID, clientIP, op, command, error, browser,  isvisible, referer, bytesOut, bytesIn, elapsed  into weblogall2#_#_to_#  from weblogall  where yy = # and mm between # and #"
2019-05-15 11:04:00,1
2019-05-15 11:33:00,1
2019-05-15 12:59:00,1
2019-05-15 13:04:00,1
2019-05-15 13:10:00,1
2019-05-15 16:50:00,1
2019-05-15 17:02:00,1
2019-05-15 17:17:00,1
2019-05-15 17:30:00,1
2019-05-15 17:31:00,1
2019-05-15 17:43:00,1
2019-05-15 17:57:00,1
2019-05-15 18:56:00,1
2019-05-15 19:26:00,1
