37,"select p.objID,p.ra,p.dec,p.run,p.rerun,p.camcol,p.field,p.obj,dbo.fGetUrlFitsCFrame(fieldid,&&&),gn.distance FROM PhotoObjAll AS p JOIN dbo.fGetNearbyObjEq( # , # ,#) AS GN ON p.objID = GN.objID ORDER BY distance"
2019-05-15 01:51:00,3
2019-05-15 15:45:00,3
2019-05-15 17:14:00,3
2019-05-15 17:16:00,3
2019-05-15 17:20:00,3
2019-05-15 17:25:00,3
2019-05-15 20:26:00,2
2019-05-15 22:27:00,1
2019-05-15 22:30:00,2
2019-05-15 22:31:00,1
2019-05-15 23:00:00,3
2019-05-15 23:01:00,3
2019-05-15 23:02:00,2
2019-05-15 23:03:00,1
2019-05-15 23:26:00,1
2019-05-15 23:31:00,3
