3,"SELECT    p.objid, p.ra, p.dec, s.plate, s.mjd, s.fiberid, s.specobjid FROM PhotoObj as p   JOIN SpecObj as s ON s.bestobjid = p.objid WHERE   p.objid = #"
2019-05-15 06:14:00,1
2019-05-15 06:15:00,1
2019-05-15 06:16:00,1
