588,select unhex(hex(version()))
2019-07-04 00:10:00,3
2019-07-04 00:21:00,3
2019-07-04 00:24:00,3
2019-07-04 00:27:00,3
2019-07-04 00:30:00,3
2019-07-04 00:33:00,3
2019-07-04 00:36:00,3
2019-07-04 00:48:00,3
2019-07-04 00:51:00,3
2019-07-04 00:54:00,3
2019-07-04 00:58:00,3
2019-07-04 01:03:00,3
2019-07-04 01:15:00,3
2019-07-04 01:21:00,3
2019-07-04 01:24:00,3
2019-07-04 01:33:00,3
2019-07-04 01:39:00,2
2019-07-04 01:42:00,3
2019-07-04 01:45:00,3
2019-07-04 01:51:00,3
2019-07-04 01:57:00,3
2019-07-04 02:00:00,3
2019-07-04 02:06:00,3
2019-07-04 02:12:00,3
2019-07-04 02:24:00,3
2019-07-04 02:31:00,3
2019-07-04 02:33:00,3
2019-07-04 02:39:00,3
2019-07-04 02:45:00,2
2019-07-04 02:57:00,3
2019-07-04 03:00:00,3
2019-07-04 03:06:00,1
2019-07-04 03:09:00,3
2019-07-04 03:12:00,3
2019-07-04 03:27:00,3
2019-07-04 03:30:00,3
2019-07-04 03:39:00,3
2019-07-04 03:45:00,3
2019-07-04 03:48:00,3
2019-07-04 03:51:00,3
2019-07-04 03:58:00,3
2019-07-04 04:00:00,3
2019-07-04 04:03:00,3
2019-07-04 04:12:00,3
2019-07-04 04:18:00,3
2019-07-04 04:21:00,3
2019-07-04 04:28:00,3
2019-07-04 04:30:00,3
2019-07-04 04:37:00,3
2019-07-04 04:39:00,3
2019-07-04 04:42:00,3
2019-07-04 04:51:00,3
2019-07-04 04:54:00,3
2019-07-04 04:57:00,3
2019-07-04 05:00:00,3
2019-07-04 05:03:00,3
2019-07-04 05:12:00,3
2019-07-04 05:18:00,3
2019-07-04 05:24:00,3
2019-07-04 05:33:00,3
2019-07-04 05:39:00,3
2019-07-04 05:42:00,3
2019-07-04 05:48:00,3
2019-07-04 05:51:00,3
2019-07-04 06:03:00,3
2019-07-04 06:06:00,3
2019-07-04 06:13:00,3
2019-07-04 06:16:00,3
2019-07-04 06:19:00,3
2019-07-04 06:22:00,3
2019-07-04 06:25:00,3
2019-07-04 06:29:00,3
2019-07-04 06:31:00,3
2019-07-04 06:34:00,3
2019-07-04 06:37:00,3
2019-07-04 06:40:00,3
2019-07-04 06:46:00,3
2019-07-04 06:54:00,3
2019-07-04 06:58:00,3
2019-07-04 07:01:00,3
2019-07-04 07:10:00,3
2019-07-04 07:14:00,2
2019-07-04 07:16:00,3
2019-07-04 07:19:00,3
2019-07-04 07:22:00,3
2019-07-04 07:25:00,3
2019-07-04 07:31:00,3
2019-07-04 07:34:00,3
2019-07-04 07:37:00,1
2019-07-04 07:38:00,2
2019-07-04 07:43:00,3
2019-07-04 07:52:00,3
2019-07-04 08:01:00,3
2019-07-04 08:04:00,3
2019-07-04 08:10:00,3
2019-07-04 08:16:00,3
2019-07-04 08:19:00,3
2019-07-04 08:22:00,3
2019-07-04 08:25:00,3
2019-07-04 08:28:00,3
2019-07-04 08:36:00,3
2019-07-04 08:37:00,3
2019-07-04 08:40:00,3
2019-07-04 08:43:00,3
2019-07-04 08:55:00,3
2019-07-04 09:04:00,3
2019-07-04 09:07:00,3
2019-07-04 09:10:00,3
2019-07-04 09:13:00,3
2019-07-04 09:16:00,3
2019-07-04 09:19:00,3
2019-07-04 09:28:00,3
2019-07-04 09:34:00,3
2019-07-04 09:40:00,3
2019-07-04 09:43:00,1
2019-07-04 09:46:00,3
2019-07-04 09:49:00,3
2019-07-04 09:55:00,3
