163,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-07-04 02:01:00,1
2019-07-04 10:01:00,1
2019-07-04 10:02:00,1
2019-07-04 10:03:00,1
2019-07-04 10:04:00,1
2019-07-04 10:05:00,16
2019-07-04 10:06:00,1
2019-07-04 10:07:00,1
2019-07-04 10:08:00,1
2019-07-04 10:09:00,2
2019-07-04 10:10:00,1
2019-07-04 10:11:00,1
2019-07-04 10:12:00,1
2019-07-04 10:13:00,1
2019-07-04 10:14:00,1
2019-07-04 10:15:00,1
2019-07-04 10:16:00,1
2019-07-04 10:17:00,1
2019-07-04 10:18:00,1
2019-07-04 10:31:00,1
2019-07-04 10:32:00,1
2019-07-04 10:33:00,1
2019-07-04 10:34:00,2
2019-07-04 10:35:00,12
2019-07-04 10:36:00,2
2019-07-04 10:37:00,1
2019-07-04 10:38:00,1
2019-07-04 10:39:00,1
2019-07-04 10:40:00,1
2019-07-04 10:41:00,1
2019-07-04 10:42:00,1
2019-07-04 10:43:00,1
2019-07-04 10:44:00,2
2019-07-04 10:46:00,1
2019-07-04 11:01:00,1
2019-07-04 11:02:00,1
2019-07-04 11:03:00,1
2019-07-04 11:04:00,2
2019-07-04 11:05:00,11
2019-07-04 11:06:00,1
2019-07-04 11:07:00,1
2019-07-04 11:08:00,1
2019-07-04 11:09:00,1
2019-07-04 11:10:00,1
2019-07-04 11:11:00,2
2019-07-04 11:12:00,1
2019-07-04 11:13:00,1
2019-07-04 11:31:00,1
2019-07-04 12:31:00,1
2019-07-04 12:32:00,1
2019-07-04 12:33:00,2
2019-07-04 12:34:00,1
2019-07-04 12:35:00,5
2019-07-04 12:36:00,1
2019-07-04 12:37:00,1
2019-07-04 12:38:00,1
2019-07-04 13:01:00,1
2019-07-04 13:02:00,1
2019-07-04 13:03:00,2
2019-07-04 13:04:00,1
2019-07-04 13:05:00,2
2019-07-04 13:31:00,2
2019-07-04 13:32:00,1
2019-07-04 13:33:00,1
2019-07-04 13:34:00,1
2019-07-04 13:35:00,17
2019-07-04 13:36:00,1
2019-07-04 13:37:00,1
2019-07-04 13:38:00,2
2019-07-04 13:39:00,1
2019-07-04 13:40:00,1
2019-07-04 13:41:00,1
2019-07-04 13:42:00,1
2019-07-04 13:43:00,1
2019-07-04 13:44:00,1
2019-07-04 13:45:00,1
2019-07-04 13:46:00,2
2019-07-04 13:47:00,1
2019-07-04 13:48:00,1
2019-07-04 14:01:00,1
2019-07-04 14:02:00,1
2019-07-04 14:03:00,1
2019-07-04 14:04:00,2
2019-07-04 14:05:00,1
2019-07-04 14:31:00,1
2019-07-04 14:32:00,1
2019-07-04 15:01:00,1
2019-07-04 15:31:00,2
2019-07-04 15:32:00,1
2019-07-04 15:33:00,1
2019-07-04 18:31:00,1
2019-07-04 22:31:00,1
2019-07-04 22:32:00,1
