2359,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-07-04 05:04:00,4
2019-07-04 05:05:00,6
2019-07-04 05:06:00,5
2019-07-04 05:07:00,6
2019-07-04 05:08:00,6
2019-07-04 05:09:00,14
2019-07-04 05:10:00,13
2019-07-04 05:12:00,11
2019-07-04 05:13:00,14
2019-07-04 05:14:00,14
2019-07-04 05:15:00,15
2019-07-04 05:19:00,2
2019-07-04 06:40:00,2
2019-07-04 06:41:00,4
2019-07-04 06:46:00,2
2019-07-04 06:47:00,12
2019-07-04 06:48:00,14
2019-07-04 06:49:00,13
2019-07-04 06:50:00,12
2019-07-04 06:51:00,12
2019-07-04 06:52:00,4
2019-07-04 06:57:00,2
2019-07-04 06:58:00,13
2019-07-04 06:59:00,13
2019-07-04 07:00:00,13
2019-07-04 07:01:00,12
2019-07-04 07:02:00,3
2019-07-04 07:04:00,9
2019-07-04 07:05:00,13
2019-07-04 07:06:00,13
2019-07-04 07:07:00,13
2019-07-04 07:08:00,13
2019-07-04 07:09:00,13
2019-07-04 07:10:00,12
2019-07-04 07:11:00,13
2019-07-04 07:12:00,10
2019-07-04 07:13:00,13
2019-07-04 07:14:00,13
2019-07-04 07:15:00,12
2019-07-04 07:16:00,12
2019-07-04 07:17:00,13
2019-07-04 07:18:00,13
2019-07-04 07:19:00,14
2019-07-04 07:20:00,13
2019-07-04 07:21:00,14
2019-07-04 07:22:00,13
2019-07-04 07:23:00,14
2019-07-04 07:24:00,13
2019-07-04 07:25:00,14
2019-07-04 07:26:00,13
2019-07-04 07:27:00,14
2019-07-04 07:28:00,14
2019-07-04 07:29:00,13
2019-07-04 07:30:00,14
2019-07-04 07:31:00,14
2019-07-04 07:32:00,13
2019-07-04 07:33:00,14
2019-07-04 07:34:00,14
2019-07-04 07:35:00,13
2019-07-04 07:36:00,14
2019-07-04 07:37:00,13
2019-07-04 07:38:00,14
2019-07-04 07:39:00,14
2019-07-04 07:40:00,13
2019-07-04 07:41:00,14
2019-07-04 07:42:00,13
2019-07-04 07:43:00,14
2019-07-04 07:44:00,13
2019-07-04 07:45:00,14
2019-07-04 07:46:00,13
2019-07-04 07:47:00,14
2019-07-04 07:48:00,1
2019-07-04 10:42:00,2
2019-07-04 10:43:00,2
2019-07-04 10:44:00,2
2019-07-04 10:47:00,2
2019-07-04 10:49:00,2
2019-07-04 11:19:00,1
2019-07-04 11:22:00,3
2019-07-04 11:23:00,8
2019-07-04 11:24:00,3
2019-07-04 11:26:00,2
2019-07-04 11:42:00,11
2019-07-04 11:43:00,10
2019-07-04 11:44:00,10
2019-07-04 11:45:00,10
2019-07-04 11:46:00,8
2019-07-04 11:47:00,10
2019-07-04 11:48:00,8
2019-07-04 11:49:00,9
2019-07-04 11:50:00,8
2019-07-04 11:51:00,10
2019-07-04 11:52:00,10
2019-07-04 11:53:00,11
2019-07-04 11:54:00,10
2019-07-04 11:55:00,10
2019-07-04 11:56:00,11
2019-07-04 11:57:00,10
2019-07-04 11:58:00,9
2019-07-04 11:59:00,11
2019-07-04 12:00:00,11
2019-07-04 12:01:00,10
2019-07-04 14:04:00,1
2019-07-04 14:05:00,5
2019-07-04 14:13:00,3
2019-07-04 14:14:00,11
2019-07-04 14:15:00,9
2019-07-04 14:16:00,10
2019-07-04 14:17:00,9
2019-07-04 14:31:00,10
2019-07-04 14:32:00,11
2019-07-04 14:33:00,10
2019-07-04 14:34:00,11
2019-07-04 15:01:00,1
2019-07-04 15:02:00,10
2019-07-04 15:03:00,11
2019-07-04 15:04:00,8
2019-07-04 15:12:00,1
2019-07-04 15:13:00,2
2019-07-04 15:14:00,2
2019-07-04 15:15:00,1
2019-07-04 15:16:00,2
2019-07-04 15:17:00,2
2019-07-04 15:44:00,3
2019-07-04 15:45:00,8
2019-07-04 15:46:00,9
2019-07-04 15:47:00,9
2019-07-04 15:48:00,9
2019-07-04 15:49:00,7
2019-07-04 15:50:00,6
2019-07-04 15:51:00,4
2019-07-04 16:51:00,3
2019-07-04 16:52:00,7
2019-07-04 16:53:00,1
2019-07-04 17:11:00,1
2019-07-04 17:13:00,1
2019-07-04 17:14:00,1
2019-07-04 17:15:00,1
2019-07-04 17:20:00,1
2019-07-04 17:21:00,9
2019-07-04 17:22:00,12
2019-07-04 17:23:00,12
2019-07-04 17:24:00,13
2019-07-04 17:25:00,12
2019-07-04 17:26:00,5
2019-07-04 17:34:00,2
2019-07-04 17:36:00,1
2019-07-04 17:37:00,4
2019-07-04 17:38:00,10
2019-07-04 17:39:00,10
2019-07-04 17:40:00,10
2019-07-04 17:41:00,3
2019-07-04 17:42:00,3
2019-07-04 17:43:00,3
2019-07-04 17:44:00,3
2019-07-04 17:45:00,2
2019-07-04 17:46:00,2
2019-07-04 17:47:00,3
2019-07-04 17:48:00,3
2019-07-04 17:49:00,4
2019-07-04 17:50:00,4
2019-07-04 17:51:00,2
2019-07-04 17:52:00,4
2019-07-04 17:53:00,4
2019-07-04 17:54:00,3
2019-07-04 17:55:00,3
2019-07-04 17:56:00,2
2019-07-04 17:57:00,2
2019-07-04 17:58:00,2
2019-07-04 17:59:00,3
2019-07-04 18:00:00,10
2019-07-04 18:01:00,15
2019-07-04 18:02:00,11
2019-07-04 18:03:00,9
2019-07-04 18:04:00,7
2019-07-04 18:05:00,4
2019-07-04 18:06:00,2
2019-07-04 18:07:00,4
2019-07-04 18:08:00,4
2019-07-04 18:09:00,3
2019-07-04 18:10:00,3
2019-07-04 18:11:00,4
2019-07-04 18:12:00,4
2019-07-04 18:13:00,3
2019-07-04 18:14:00,3
2019-07-04 18:15:00,4
2019-07-04 18:31:00,4
2019-07-04 18:32:00,13
2019-07-04 18:33:00,13
2019-07-04 18:34:00,10
2019-07-04 18:37:00,4
2019-07-04 18:38:00,12
2019-07-04 18:39:00,11
2019-07-04 18:40:00,10
2019-07-04 18:41:00,11
2019-07-04 18:42:00,11
2019-07-04 18:43:00,11
2019-07-04 18:44:00,11
2019-07-04 18:45:00,12
2019-07-04 18:46:00,13
2019-07-04 18:47:00,13
2019-07-04 18:48:00,13
2019-07-04 18:49:00,13
2019-07-04 18:50:00,12
2019-07-04 18:51:00,13
2019-07-04 18:52:00,13
2019-07-04 18:53:00,13
2019-07-04 18:54:00,13
2019-07-04 18:55:00,11
2019-07-04 18:56:00,10
2019-07-04 18:57:00,11
2019-07-04 18:58:00,10
2019-07-04 18:59:00,11
2019-07-04 19:00:00,6
2019-07-04 19:01:00,12
2019-07-04 19:02:00,13
2019-07-04 19:03:00,13
2019-07-04 19:04:00,13
2019-07-04 19:05:00,12
2019-07-04 19:06:00,13
2019-07-04 19:07:00,12
2019-07-04 19:08:00,14
2019-07-04 19:09:00,12
2019-07-04 19:10:00,13
2019-07-04 19:11:00,13
2019-07-04 19:12:00,13
2019-07-04 19:13:00,13
