3,"select   p.objid, p.ra, p.dec, p.z from SpecPhoto as p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid and p.z > #"
2019-07-04 12:02:00,1
2019-07-04 12:03:00,1
2019-07-04 12:04:00,1
