2,"select objid, modelmag_u, modelmag_g, modelmag_r, modelmag_i, modelmag_z,z from SpecPhoto where specclass=# and zconf > .# and z>#"
2019-07-04 02:48:00,1
2019-07-04 02:49:00,1
