62,"SELECT s.specObjID as spec_id, dbo.fGetUrlFitsSpectrum(s.specObjId) as spec_url FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type=# AND s.snMedian>#"
2019-07-04 05:04:00,4
2019-07-04 05:05:00,6
2019-07-04 05:06:00,5
2019-07-04 05:07:00,6
2019-07-04 05:08:00,6
2019-07-04 05:16:00,1
2019-07-04 05:19:00,1
2019-07-04 05:20:00,1
2019-07-04 10:44:00,2
2019-07-04 10:47:00,2
2019-07-04 10:49:00,2
2019-07-04 11:19:00,1
2019-07-04 11:22:00,3
2019-07-04 11:23:00,7
2019-07-04 11:24:00,2
2019-07-04 11:26:00,2
2019-07-04 16:54:00,1
2019-07-04 17:09:00,1
2019-07-04 18:02:00,1
2019-07-04 18:03:00,5
2019-07-04 18:04:00,3
