23,select top # * from galaxy
2019-07-04 02:28:00,2
2019-07-04 02:58:00,1
2019-07-04 03:00:00,1
2019-07-04 03:04:00,1
2019-07-04 03:57:00,1
2019-07-04 04:00:00,1
2019-07-04 05:33:00,1
2019-07-04 10:34:00,1
2019-07-04 10:47:00,1
2019-07-04 11:47:00,1
2019-07-04 13:28:00,2
2019-07-04 14:46:00,1
2019-07-04 14:50:00,1
2019-07-04 14:51:00,1
2019-07-04 14:57:00,1
2019-07-04 16:06:00,1
2019-07-04 17:08:00,1
2019-07-04 17:11:00,1
2019-07-04 17:13:00,1
2019-07-04 17:41:00,1
2019-07-04 18:24:00,1
