263,"SELECT ra, dec, petroMag_g, petroMagErr_g, petroMag_r, petroMagErr_r, petroMag_i, petroMagErr_i FROM star WHERE (ra between # and #) and (dec between # and #) and (petroMag_g < #) and (petroMag_g>#)"
2019-08-31 09:35:00,1
2019-08-31 09:40:00,1
2019-08-31 09:47:00,1
2019-08-31 09:55:00,1
2019-08-31 09:59:00,1
2019-08-31 10:02:00,1
2019-08-31 10:09:00,1
2019-08-31 10:13:00,1
2019-08-31 10:21:00,1
2019-08-31 10:26:00,1
2019-08-31 10:29:00,1
2019-08-31 10:37:00,1
2019-08-31 10:40:00,1
2019-08-31 10:42:00,1
2019-08-31 10:49:00,1
2019-08-31 10:56:00,1
2019-08-31 11:01:00,1
2019-08-31 11:09:00,1
2019-08-31 11:18:00,1
2019-08-31 11:25:00,1
2019-08-31 11:30:00,1
2019-08-31 11:35:00,1
2019-08-31 11:44:00,1
2019-08-31 11:50:00,1
2019-08-31 11:58:00,1
2019-08-31 12:01:00,1
2019-08-31 12:09:00,1
2019-08-31 12:16:00,1
2019-08-31 12:22:00,1
2019-08-31 12:28:00,1
2019-08-31 12:34:00,1
2019-08-31 12:41:00,1
2019-08-31 12:47:00,1
2019-08-31 12:55:00,1
2019-08-31 13:02:00,1
2019-08-31 13:06:00,1
2019-08-31 13:10:00,1
2019-08-31 13:13:00,1
2019-08-31 13:19:00,1
2019-08-31 13:25:00,1
2019-08-31 13:30:00,1
2019-08-31 13:35:00,1
2019-08-31 13:41:00,1
2019-08-31 13:44:00,1
2019-08-31 20:17:00,1
2019-08-31 20:25:00,1
2019-08-31 20:29:00,1
2019-08-31 22:33:00,1
