42,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-08-31 00:45:00,1
2019-08-31 01:45:00,1
2019-08-31 02:04:00,1
2019-08-31 02:06:00,1
2019-08-31 02:14:00,1
2019-08-31 02:45:00,1
2019-08-31 03:44:00,1
2019-08-31 04:45:00,1
2019-08-31 05:45:00,1
2019-08-31 06:46:00,1
2019-08-31 07:45:00,1
2019-08-31 08:45:00,1
2019-08-31 09:45:00,1
2019-08-31 09:46:00,9
2019-08-31 09:47:00,1
2019-08-31 10:44:00,1
2019-08-31 11:45:00,1
2019-08-31 12:45:00,1
2019-08-31 13:45:00,1
2019-08-31 14:45:00,1
2019-08-31 15:45:00,1
2019-08-31 16:45:00,1
2019-08-31 17:45:00,1
2019-08-31 18:44:00,1
2019-08-31 19:45:00,1
2019-08-31 19:58:00,9
