122,"select   z, ra, dec, bestObjID   from   specObj   where   class = &&&   and zWarning = #   and ra<#  and ra>#  and dec<#  and dec>#  and z >#  and z <#"
2019-01-19 13:15:00,3
2019-01-19 14:09:00,2
2019-01-19 14:21:00,4
2019-01-19 14:24:00,1
2019-01-19 14:25:00,1
2019-01-19 14:26:00,1
2019-01-19 14:28:00,3
2019-01-19 14:30:00,1
2019-01-19 14:31:00,1
2019-01-19 14:32:00,1
2019-01-19 14:33:00,1
2019-01-19 14:34:00,1
2019-01-19 14:36:00,1
2019-01-19 14:37:00,2
2019-01-19 14:38:00,1
2019-01-19 14:39:00,2
2019-01-19 14:41:00,3
2019-01-19 14:42:00,4
2019-01-19 15:51:00,4
2019-01-19 15:56:00,4
2019-01-19 15:57:00,23
2019-01-19 15:58:00,23
2019-01-19 15:59:00,35
