10,"select TOP # ra,dec,z,class from specObj where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-01-19 10:42:00,2
2019-01-19 10:43:00,3
2019-01-19 10:44:00,4
2019-01-19 11:36:00,1
