602,"select c.*     , n1.x as x1,n1.y as y1     , n2.x as x2,n2.y as y2     from cracks_SD1 c     ,    nodes_SD1 n1     ,    nodes_SD1 n2     where c.snapnum=#     and n1.snapnum=c.snapnum     and n1.nodeid=c.node1     and n2.snapnum=c.snapnum     and n2.nodeid=c.node2"
2019-01-19 17:08:00,1
2019-01-19 17:19:00,23
2019-01-19 17:20:00,32
2019-01-19 17:21:00,30
2019-01-19 17:22:00,34
2019-01-19 17:23:00,30
2019-01-19 17:24:00,34
2019-01-19 17:25:00,31
2019-01-19 17:26:00,16
2019-01-19 17:27:00,7
2019-01-19 17:28:00,5
2019-01-19 17:29:00,4
2019-01-19 17:30:00,3
2019-01-19 17:31:00,3
2019-01-19 17:32:00,2
2019-01-19 17:33:00,2
2019-01-19 17:34:00,2
2019-01-19 17:35:00,2
2019-01-19 17:36:00,2
2019-01-19 17:37:00,2
2019-01-19 17:38:00,2
2019-01-19 17:39:00,1
2019-01-19 17:40:00,2
2019-01-19 17:41:00,2
2019-01-19 17:42:00,1
2019-01-19 17:43:00,2
2019-01-19 17:44:00,1
2019-01-19 17:45:00,1
2019-01-19 17:46:00,2
2019-01-19 17:47:00,1
2019-01-19 17:48:00,1
2019-01-19 17:49:00,2
2019-01-19 17:50:00,1
2019-01-19 17:51:00,1
2019-01-19 17:52:00,2
2019-01-19 17:53:00,1
2019-01-19 17:54:00,1
2019-01-19 17:55:00,1
2019-01-19 17:56:00,1
2019-01-19 17:57:00,1
2019-01-19 17:58:00,1
2019-01-19 17:59:00,2
2019-01-19 18:00:00,1
2019-01-19 18:01:00,1
2019-01-19 18:02:00,1
2019-01-19 18:03:00,1
2019-01-19 18:04:00,1
2019-01-19 18:05:00,1
2019-01-19 18:11:00,2
2019-01-19 18:12:00,38
2019-01-19 18:13:00,34
2019-01-19 18:14:00,40
2019-01-19 18:15:00,36
2019-01-19 18:16:00,35
2019-01-19 18:17:00,34
2019-01-19 18:18:00,14
2019-01-19 18:19:00,7
2019-01-19 18:20:00,5
2019-01-19 18:21:00,3
2019-01-19 18:22:00,3
2019-01-19 18:23:00,3
2019-01-19 18:24:00,2
2019-01-19 18:25:00,2
2019-01-19 18:26:00,2
2019-01-19 18:27:00,2
2019-01-19 18:28:00,2
2019-01-19 18:29:00,2
2019-01-19 18:30:00,1
2019-01-19 18:31:00,2
2019-01-19 18:32:00,2
2019-01-19 18:33:00,1
2019-01-19 18:34:00,2
2019-01-19 18:35:00,1
2019-01-19 18:36:00,2
2019-01-19 18:37:00,1
2019-01-19 18:38:00,1
2019-01-19 18:39:00,2
2019-01-19 18:40:00,1
2019-01-19 18:41:00,1
2019-01-19 18:42:00,2
2019-01-19 18:43:00,1
2019-01-19 18:44:00,1
2019-01-19 18:45:00,1
2019-01-19 18:46:00,2
2019-01-19 18:47:00,1
2019-01-19 18:48:00,1
2019-01-19 18:49:00,1
2019-01-19 18:50:00,1
2019-01-19 18:51:00,1
2019-01-19 18:52:00,1
2019-01-19 18:53:00,1
2019-01-19 18:54:00,1
2019-01-19 18:55:00,2
2019-01-19 18:56:00,1
