151,"select p.run,p.rerun,p.camcol,p.field, g.colc, g.rowc, g.petroR9#_r from dbo.fGetNearestObjEq(#,#,#) p, PhotoObjAll g where p.run=g.run and p.rerun=g.rerun and p.camcol=g.camcol and p.field=g.field and p.objid=g.objid and p.rerun>#"
2019-01-19 11:40:00,1
2019-01-19 11:42:00,1
2019-01-19 11:44:00,1
2019-01-19 12:05:00,1
2019-01-19 12:06:00,1
2019-01-19 12:13:00,1
2019-01-19 12:14:00,1
2019-01-19 12:21:00,1
2019-01-19 12:26:00,1
2019-01-19 12:27:00,3
2019-01-19 12:28:00,6
2019-01-19 12:29:00,5
2019-01-19 12:30:00,4
2019-01-19 12:31:00,4
2019-01-19 12:32:00,6
2019-01-19 12:33:00,4
2019-01-19 12:34:00,6
2019-01-19 12:35:00,6
2019-01-19 12:36:00,5
2019-01-19 12:37:00,5
2019-01-19 12:38:00,3
2019-01-19 12:39:00,5
2019-01-19 12:40:00,3
2019-01-19 12:41:00,2
2019-01-19 12:42:00,6
2019-01-19 12:43:00,4
2019-01-19 12:44:00,7
2019-01-19 12:45:00,7
2019-01-19 12:46:00,7
2019-01-19 12:47:00,1
2019-01-19 12:48:00,5
2019-01-19 12:49:00,4
2019-01-19 12:50:00,3
2019-01-19 12:51:00,3
2019-01-19 12:52:00,2
2019-01-19 12:53:00,6
2019-01-19 12:54:00,3
2019-01-19 12:55:00,5
2019-01-19 12:56:00,4
2019-01-19 12:57:00,4
2019-01-19 12:58:00,2
2019-01-19 13:23:00,1
2019-01-19 13:26:00,1
