53,"SELECT TOP #  s.plate,s.mjd,s.fiberid,s.z,s.zErr,s.zWarning,s.class,p.run,p.rerun,p.camCol,p.field,p.obj,cast(str(p.ra,#,#) as float) as ra,cast(str(p.[dec],#,#) as float) as dec,p.r  FROM ..SpecObj as s  JOIN ..PhotoObj AS p ON s.bestObjID = p.objID  JOIN dbo.fGetObjFromRect(#,#,#,#) AS b ON s.bestobjid = b.objID  WHERE s.z > # AND s.zWarning = # AND (s.class = &&&) AND s.z < #"
2019-04-18 15:24:00,1
2019-04-18 15:29:00,1
2019-04-18 15:31:00,1
2019-04-18 16:31:00,1
2019-04-18 16:34:00,1
2019-04-18 16:36:00,1
2019-04-18 16:39:00,1
2019-04-18 16:41:00,1
2019-04-18 17:11:00,1
2019-04-18 17:14:00,1
2019-04-18 17:27:00,1
2019-04-18 18:50:00,1
2019-04-18 18:52:00,1
2019-04-18 18:53:00,1
2019-04-18 18:55:00,2
2019-04-18 18:57:00,2
2019-04-18 18:58:00,1
2019-04-18 18:59:00,1
2019-04-18 19:00:00,1
2019-04-18 19:01:00,2
2019-04-18 19:02:00,1
2019-04-18 19:05:00,2
2019-04-18 19:07:00,1
2019-04-18 19:09:00,1
2019-04-18 19:12:00,2
2019-04-18 19:14:00,2
2019-04-18 19:15:00,1
2019-04-18 19:16:00,2
2019-04-18 19:17:00,1
2019-04-18 19:18:00,2
2019-04-18 19:19:00,1
2019-04-18 19:20:00,1
2019-04-18 19:22:00,1
2019-04-18 19:23:00,2
2019-04-18 19:24:00,2
2019-04-18 19:25:00,1
2019-04-18 19:26:00,2
2019-04-18 19:27:00,1
2019-04-18 19:28:00,1
2019-04-18 19:30:00,1
2019-04-18 19:31:00,2
