2940,"select name, type from DBObjects where type=&&& and access=&&& and name NOT IN (&&&, &&&) order by name"
2019-04-18 00:01:00,7
2019-04-18 00:02:00,6
2019-04-18 00:04:00,3
2019-04-18 00:05:00,3
2019-04-18 00:24:00,3
2019-04-18 00:28:00,12
2019-04-18 00:29:00,6
2019-04-18 00:32:00,3
2019-04-18 00:40:00,6
2019-04-18 00:43:00,3
2019-04-18 00:44:00,3
2019-04-18 00:51:00,2
2019-04-18 00:54:00,3
2019-04-18 00:58:00,3
2019-04-18 01:01:00,3
2019-04-18 01:26:00,3
2019-04-18 01:29:00,6
2019-04-18 01:30:00,3
2019-04-18 01:37:00,3
2019-04-18 01:38:00,3
2019-04-18 01:48:00,3
2019-04-18 01:55:00,3
2019-04-18 02:02:00,3
2019-04-18 02:05:00,3
2019-04-18 02:45:00,3
2019-04-18 03:04:00,3
2019-04-18 03:06:00,3
2019-04-18 03:15:00,3
2019-04-18 03:16:00,3
2019-04-18 03:21:00,3
2019-04-18 03:26:00,3
2019-04-18 03:34:00,3
2019-04-18 03:35:00,6
2019-04-18 03:38:00,3
2019-04-18 03:44:00,3
2019-04-18 04:08:00,1
2019-04-18 04:23:00,3
2019-04-18 04:30:00,3
2019-04-18 04:41:00,3
2019-04-18 04:43:00,3
2019-04-18 05:04:00,3
2019-04-18 05:12:00,3
2019-04-18 05:13:00,3
2019-04-18 05:18:00,3
2019-04-18 05:21:00,3
2019-04-18 05:25:00,2
2019-04-18 05:39:00,3
2019-04-18 05:46:00,3
2019-04-18 05:56:00,3
2019-04-18 05:57:00,3
2019-04-18 05:58:00,3
2019-04-18 06:07:00,4
2019-04-18 06:08:00,5
2019-04-18 06:09:00,3
2019-04-18 06:10:00,12
2019-04-18 06:11:00,9
2019-04-18 06:12:00,3
2019-04-18 06:13:00,6
2019-04-18 06:14:00,6
2019-04-18 06:15:00,6
2019-04-18 06:16:00,6
2019-04-18 06:17:00,9
2019-04-18 06:18:00,12
2019-04-18 06:19:00,6
2019-04-18 06:20:00,6
2019-04-18 06:21:00,9
2019-04-18 06:22:00,6
2019-04-18 06:23:00,12
2019-04-18 06:24:00,6
2019-04-18 06:25:00,9
2019-04-18 06:26:00,15
2019-04-18 06:27:00,9
2019-04-18 06:28:00,9
2019-04-18 06:29:00,3
2019-04-18 06:30:00,6
2019-04-18 06:31:00,9
2019-04-18 06:32:00,3
2019-04-18 06:33:00,9
2019-04-18 06:34:00,9
2019-04-18 06:35:00,3
2019-04-18 06:36:00,3
2019-04-18 06:43:00,3
2019-04-18 07:10:00,3
2019-04-18 07:19:00,3
2019-04-18 07:31:00,3
2019-04-18 07:33:00,3
2019-04-18 07:38:00,3
2019-04-18 07:44:00,9
2019-04-18 07:48:00,6
2019-04-18 07:52:00,3
2019-04-18 08:02:00,3
2019-04-18 08:08:00,3
2019-04-18 08:09:00,3
2019-04-18 08:10:00,3
2019-04-18 08:11:00,3
2019-04-18 08:13:00,6
2019-04-18 08:15:00,3
2019-04-18 08:25:00,3
2019-04-18 08:30:00,3
2019-04-18 08:31:00,3
2019-04-18 08:41:00,9
2019-04-18 08:42:00,9
2019-04-18 08:43:00,6
2019-04-18 08:44:00,9
2019-04-18 08:45:00,3
2019-04-18 08:47:00,3
2019-04-18 08:48:00,3
2019-04-18 08:49:00,3
2019-04-18 08:50:00,9
2019-04-18 08:51:00,9
2019-04-18 08:52:00,3
2019-04-18 08:54:00,3
2019-04-18 08:55:00,3
2019-04-18 08:56:00,3
2019-04-18 08:57:00,9
2019-04-18 08:58:00,3
2019-04-18 08:59:00,3
2019-04-18 09:00:00,15
2019-04-18 09:01:00,12
2019-04-18 09:02:00,15
2019-04-18 09:03:00,3
2019-04-18 09:04:00,3
2019-04-18 09:05:00,6
2019-04-18 09:06:00,9
2019-04-18 09:07:00,9
2019-04-18 09:09:00,6
2019-04-18 09:10:00,6
2019-04-18 09:11:00,6
2019-04-18 09:12:00,3
2019-04-18 09:13:00,6
2019-04-18 09:14:00,6
2019-04-18 09:17:00,6
2019-04-18 09:29:00,3
2019-04-18 09:32:00,3
2019-04-18 09:35:00,3
2019-04-18 09:39:00,3
2019-04-18 09:44:00,3
2019-04-18 09:46:00,3
2019-04-18 09:47:00,6
2019-04-18 09:48:00,6
2019-04-18 09:52:00,3
2019-04-18 09:55:00,3
2019-04-18 09:59:00,9
2019-04-18 10:00:00,3
2019-04-18 10:02:00,3
2019-04-18 10:03:00,3
2019-04-18 10:04:00,6
2019-04-18 10:05:00,6
2019-04-18 10:06:00,6
2019-04-18 10:08:00,3
2019-04-18 10:09:00,6
2019-04-18 10:10:00,6
2019-04-18 10:11:00,12
2019-04-18 10:12:00,18
2019-04-18 10:13:00,21
2019-04-18 10:14:00,15
2019-04-18 10:15:00,12
2019-04-18 10:16:00,15
2019-04-18 10:17:00,12
2019-04-18 10:18:00,9
2019-04-18 10:19:00,15
2019-04-18 10:20:00,6
2019-04-18 10:21:00,6
2019-04-18 10:22:00,12
2019-04-18 10:23:00,9
2019-04-18 10:24:00,18
2019-04-18 10:25:00,12
2019-04-18 10:26:00,21
2019-04-18 10:27:00,18
2019-04-18 10:28:00,15
2019-04-18 10:29:00,24
2019-04-18 10:30:00,15
2019-04-18 10:31:00,30
2019-04-18 10:32:00,18
2019-04-18 10:33:00,21
2019-04-18 10:34:00,21
2019-04-18 10:35:00,18
2019-04-18 10:36:00,24
2019-04-18 10:37:00,24
2019-04-18 10:38:00,18
2019-04-18 10:39:00,25
2019-04-18 10:40:00,18
2019-04-18 10:41:00,18
2019-04-18 10:42:00,18
2019-04-18 10:43:00,18
2019-04-18 10:44:00,12
2019-04-18 10:45:00,18
2019-04-18 10:46:00,15
2019-04-18 10:47:00,9
2019-04-18 10:48:00,9
2019-04-18 10:49:00,9
2019-04-18 10:50:00,6
2019-04-18 10:51:00,9
2019-04-18 10:52:00,6
2019-04-18 10:53:00,9
2019-04-18 10:54:00,6
2019-04-18 10:55:00,12
2019-04-18 10:56:00,12
2019-04-18 10:57:00,12
2019-04-18 10:58:00,6
2019-04-18 10:59:00,6
2019-04-18 11:00:00,9
2019-04-18 11:01:00,3
2019-04-18 11:02:00,3
2019-04-18 11:03:00,9
2019-04-18 11:04:00,6
2019-04-18 11:05:00,6
2019-04-18 11:06:00,9
2019-04-18 11:07:00,6
2019-04-18 11:08:00,6
2019-04-18 11:09:00,6
2019-04-18 11:24:00,3
2019-04-18 11:34:00,30
2019-04-18 11:39:00,3
2019-04-18 11:40:00,3
2019-04-18 11:54:00,3
2019-04-18 12:05:00,3
2019-04-18 12:11:00,3
2019-04-18 12:15:00,15
2019-04-18 12:18:00,6
2019-04-18 12:19:00,3
2019-04-18 12:20:00,3
2019-04-18 12:21:00,51
2019-04-18 12:22:00,52
2019-04-18 12:23:00,59
2019-04-18 12:24:00,57
2019-04-18 12:25:00,21
2019-04-18 12:47:00,3
2019-04-18 12:58:00,3
2019-04-18 13:00:00,3
2019-04-18 13:12:00,3
2019-04-18 13:27:00,3
2019-04-18 13:41:00,3
2019-04-18 13:42:00,9
2019-04-18 13:48:00,3
2019-04-18 13:51:00,3
2019-04-18 13:55:00,6
2019-04-18 13:56:00,6
2019-04-18 14:03:00,15
2019-04-18 14:04:00,9
2019-04-18 14:05:00,3
2019-04-18 14:06:00,12
2019-04-18 14:07:00,6
2019-04-18 14:08:00,6
2019-04-18 14:09:00,3
2019-04-18 14:10:00,3
2019-04-18 14:11:00,6
2019-04-18 14:17:00,3
2019-04-18 14:29:00,1
2019-04-18 14:32:00,3
2019-04-18 14:35:00,3
2019-04-18 14:36:00,3
2019-04-18 14:49:00,6
2019-04-18 14:51:00,9
2019-04-18 14:52:00,3
2019-04-18 14:53:00,9
2019-04-18 15:07:00,3
2019-04-18 15:19:00,3
2019-04-18 15:23:00,3
2019-04-18 15:26:00,3
2019-04-18 15:31:00,1
2019-04-18 15:32:00,1
2019-04-18 15:34:00,3
2019-04-18 15:56:00,3
2019-04-18 16:09:00,3
2019-04-18 16:10:00,3
2019-04-18 16:12:00,6
2019-04-18 16:13:00,3
2019-04-18 16:15:00,12
2019-04-18 16:28:00,3
2019-04-18 16:30:00,9
2019-04-18 16:31:00,6
2019-04-18 16:32:00,12
2019-04-18 16:33:00,9
2019-04-18 16:34:00,3
2019-04-18 16:37:00,9
2019-04-18 16:38:00,3
2019-04-18 16:52:00,3
2019-04-18 17:00:00,3
2019-04-18 17:01:00,3
2019-04-18 17:02:00,3
2019-04-18 17:14:00,3
2019-04-18 17:16:00,9
2019-04-18 17:17:00,9
2019-04-18 17:18:00,3
2019-04-18 17:19:00,3
2019-04-18 17:26:00,6
2019-04-18 17:28:00,6
2019-04-18 17:37:00,3
2019-04-18 17:43:00,3
2019-04-18 17:57:00,3
2019-04-18 18:13:00,3
2019-04-18 18:16:00,3
2019-04-18 18:21:00,3
2019-04-18 18:26:00,3
2019-04-18 18:32:00,6
2019-04-18 18:36:00,3
2019-04-18 18:42:00,3
2019-04-18 18:50:00,3
2019-04-18 19:01:00,3
2019-04-18 19:02:00,3
2019-04-18 19:05:00,9
2019-04-18 19:07:00,3
2019-04-18 19:26:00,6
2019-04-18 19:29:00,3
2019-04-18 19:36:00,3
2019-04-18 19:42:00,3
2019-04-18 20:05:00,10
2019-04-18 20:06:00,9
2019-04-18 20:09:00,6
2019-04-18 20:11:00,6
2019-04-18 20:39:00,3
2019-04-18 20:42:00,6
2019-04-18 20:44:00,3
2019-04-18 20:45:00,3
2019-04-18 20:54:00,3
2019-04-18 21:05:00,3
2019-04-18 21:09:00,3
2019-04-18 21:10:00,9
2019-04-18 21:11:00,12
2019-04-18 21:12:00,3
2019-04-18 21:13:00,6
2019-04-18 21:14:00,12
2019-04-18 21:15:00,3
2019-04-18 21:16:00,9
2019-04-18 21:23:00,6
2019-04-18 21:47:00,3
2019-04-18 21:59:00,3
2019-04-18 22:02:00,9
2019-04-18 22:03:00,39
2019-04-18 22:04:00,36
2019-04-18 22:05:00,45
2019-04-18 22:06:00,18
2019-04-18 22:07:00,39
2019-04-18 22:08:00,33
2019-04-18 22:09:00,42
2019-04-18 22:10:00,48
2019-04-18 22:11:00,21
2019-04-18 22:12:00,45
