14,"SELECT TOP #   objID, ra, dec,   sqrt( power(rowv,#) + power(colv, #) ) as velocity   FROM PhotoObj   WHERE   (power(rowv,#) + power(colv, #)) > #   AND rowv != # and colv != #"
2019-04-18 09:49:00,1
2019-04-18 09:51:00,1
2019-04-18 09:55:00,1
2019-04-18 10:00:00,1
2019-04-18 10:01:00,1
2019-04-18 10:58:00,1
2019-04-18 14:40:00,1
2019-04-18 14:53:00,1
2019-04-18 14:55:00,1
2019-04-18 21:52:00,1
2019-04-18 22:07:00,1
2019-04-18 22:10:00,1
2019-04-18 22:13:00,1
2019-04-18 22:18:00,1
