39,"SELECT TOP # gsl.neiii_#_reqw, gsl.h_beta_reqw, gsl.h_beta_reqw_err, gsl.oii_#_reqw, gsl.oii_#_reqw_err, gsl.nii_#_reqw, gsl.nii_#_reqw_err, gsl.h_alpha_reqw, gsl.h_alpha_reqw_err, p.objid, p.ra,p.dec,p.petror9#_r, p.dered_z, p.dered_r, p.dered_g   FROM Galaxy as p    JOIN galSpecLine AS gsl ON p.specobjid = gsl.specobjid"
2019-04-18 16:27:00,1
2019-04-18 16:28:00,2
2019-04-18 16:29:00,1
2019-04-18 16:30:00,1
2019-04-18 16:35:00,1
2019-04-18 16:38:00,1
2019-04-18 16:39:00,1
2019-04-18 16:41:00,2
2019-04-18 16:44:00,2
2019-04-18 16:47:00,1
2019-04-18 16:49:00,1
2019-04-18 16:51:00,1
2019-04-18 17:03:00,3
2019-04-18 17:04:00,2
2019-04-18 17:08:00,2
2019-04-18 17:09:00,2
2019-04-18 17:10:00,2
2019-04-18 17:11:00,2
2019-04-18 17:12:00,2
2019-04-18 17:13:00,5
2019-04-18 17:15:00,1
2019-04-18 17:16:00,1
2019-04-18 17:20:00,1
2019-04-18 17:30:00,1
