3,"SELECT TOP # p.run,p.rerun,p.camCol,p.field,p.obj,str(p.ra,#,#) as ra,str(p.[dec],#,#) as dec,p.petroMag_u,p.petroMag_g,p.petroMag_r,p.petroMag_i,p.petroMag_z,p.petroMagErr_u,p.petroMagErr_g,p.petroMagErr_r,p.petroMagErr_i,p.petroMagErr_z,p.extinction_g,p.extinction_i,p.extinction_r,p.extinction_u,p.extinction_z FROM BESTDR7..Galaxy AS p 	JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = p.objID"
2019-04-18 05:24:00,2
2019-04-18 05:25:00,1
