333,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-18 12:31:00,5
2019-04-18 12:32:00,1
2019-04-18 12:33:00,4
2019-04-18 12:34:00,8
2019-04-18 12:43:00,3
2019-04-18 12:46:00,9
2019-04-18 12:47:00,5
2019-04-18 12:49:00,106
2019-04-18 12:50:00,10
2019-04-18 12:52:00,1
2019-04-18 12:53:00,25
2019-04-18 12:54:00,7
2019-04-18 12:55:00,14
2019-04-18 12:56:00,17
2019-04-18 12:59:00,11
2019-04-18 13:00:00,3
2019-04-18 13:02:00,13
2019-04-18 13:04:00,4
2019-04-18 13:10:00,18
2019-04-18 13:11:00,6
2019-04-18 13:12:00,5
2019-04-18 13:15:00,5
2019-04-18 13:16:00,1
2019-04-18 13:17:00,2
2019-04-18 13:19:00,13
2019-04-18 13:20:00,10
2019-04-18 13:22:00,3
2019-04-18 13:24:00,1
2019-04-18 13:25:00,7
2019-04-18 13:29:00,8
2019-04-18 13:30:00,8
