4,"select dbo.fCosmoAbsMag(#,#,#,#,#e-#,#,#) select dbo.fCosmoAbsMag(#,#,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT)"
2019-04-18 04:58:00,1
2019-04-18 06:46:00,1
2019-04-18 06:47:00,2
