4,"select p.objid as name, p.ra, p.dec from star p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid and (p.g-p.r BETWEEN # AND #)"
2019-04-18 01:30:00,1
2019-04-18 01:31:00,1
2019-04-18 01:32:00,2
