1509,"select ra,dec, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < #"
2019-04-18 00:50:00,3
2019-04-18 00:51:00,26
2019-04-18 00:52:00,14
2019-04-18 00:53:00,9
2019-04-18 00:54:00,13
2019-04-18 00:55:00,14
2019-04-18 00:56:00,25
2019-04-18 00:57:00,19
2019-04-18 00:58:00,17
2019-04-18 00:59:00,17
2019-04-18 01:00:00,18
2019-04-18 01:01:00,28
2019-04-18 01:02:00,42
2019-04-18 01:03:00,42
2019-04-18 01:04:00,30
2019-04-18 01:05:00,44
2019-04-18 01:06:00,30
2019-04-18 01:07:00,26
2019-04-18 01:08:00,40
2019-04-18 01:09:00,29
2019-04-18 01:10:00,22
2019-04-18 01:11:00,19
2019-04-18 01:12:00,20
2019-04-18 01:13:00,34
2019-04-18 01:14:00,27
2019-04-18 01:15:00,23
2019-04-18 01:16:00,23
2019-04-18 01:17:00,26
2019-04-18 01:18:00,21
2019-04-18 01:19:00,24
2019-04-18 01:20:00,23
2019-04-18 01:21:00,15
2019-04-18 01:22:00,18
2019-04-18 01:23:00,38
2019-04-18 01:24:00,40
2019-04-18 01:25:00,42
2019-04-18 01:26:00,45
2019-04-18 01:27:00,43
2019-04-18 01:28:00,38
2019-04-18 01:29:00,16
2019-04-18 01:30:00,14
2019-04-18 01:31:00,11
2019-04-18 01:32:00,10
2019-04-18 01:33:00,8
2019-04-18 01:34:00,11
2019-04-18 01:35:00,43
2019-04-18 01:36:00,42
2019-04-18 01:37:00,43
2019-04-18 01:38:00,44
2019-04-18 01:39:00,44
2019-04-18 01:40:00,43
2019-04-18 01:41:00,43
2019-04-18 01:42:00,44
2019-04-18 01:43:00,43
2019-04-18 01:44:00,21
2019-04-18 01:47:00,2
