16,"INSERT INTO #upload values ( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #, #),( #, #."
2019-04-18 16:21:00,1
2019-04-18 16:23:00,1
2019-04-18 16:25:00,2
2019-04-18 16:26:00,2
2019-04-18 16:29:00,2
2019-04-18 16:30:00,1
2019-04-18 16:31:00,1
2019-04-18 16:32:00,1
2019-04-18 16:48:00,1
2019-04-18 16:49:00,1
2019-04-18 16:50:00,1
2019-04-18 16:57:00,1
2019-04-18 16:58:00,1
