18,"SELECT up_id, dbo.fGetNearestObjIdEq(up_ra,up_dec,#) as objId           FROM #upload WHERE dbo.fGetNearestObjIdEq(up_ra,up_dec,#) IS NOT NULL SELECT         p.objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field,        dbo.fPhotoTypeN(p.type) as type,        g.dered_u as u, g.dered_g as g, g.dered_r as r, g.dered_i as i, g.clean,        s.z as z_spec      FROM #upload u           JOIN #x x ON x.up_id = u.up_id           JOIN PhotoTag p ON p.objID = x.objID            JOIN galaxy g ON g.objID = x.objID           JOIN SpecObj s ON s.bestobjid = x.objID     ORDER BY x.up_id"
2019-04-18 16:14:00,1
2019-04-18 16:20:00,1
2019-04-18 16:22:00,1
2019-04-18 16:23:00,1
2019-04-18 16:25:00,2
2019-04-18 16:26:00,2
2019-04-18 16:29:00,1
2019-04-18 16:30:00,2
2019-04-18 16:31:00,1
2019-04-18 16:32:00,1
2019-04-18 16:49:00,2
2019-04-18 16:50:00,1
2019-04-18 16:57:00,1
2019-04-18 16:58:00,1
