215,"SELECT specObjID, dr7ObjID FROM SpecDR7 WHERE specobjid = #"
2019-04-18 06:08:00,1
2019-04-18 06:22:00,3
2019-04-18 06:28:00,2
2019-04-18 06:29:00,2
2019-04-18 06:30:00,2
2019-04-18 06:31:00,3
2019-04-18 06:32:00,3
2019-04-18 06:33:00,3
2019-04-18 06:49:00,4
2019-04-18 06:50:00,3
2019-04-18 06:51:00,3
2019-04-18 06:52:00,4
2019-04-18 06:53:00,3
2019-04-18 06:54:00,3
2019-04-18 06:55:00,4
2019-04-18 06:56:00,3
2019-04-18 06:57:00,5
2019-04-18 06:58:00,2
2019-04-18 06:59:00,3
2019-04-18 07:00:00,3
2019-04-18 07:01:00,3
2019-04-18 07:02:00,3
2019-04-18 07:03:00,3
2019-04-18 07:04:00,3
2019-04-18 07:05:00,3
2019-04-18 07:06:00,2
2019-04-18 07:07:00,4
2019-04-18 07:08:00,3
2019-04-18 07:09:00,3
2019-04-18 07:10:00,4
2019-04-18 07:11:00,3
2019-04-18 07:12:00,3
2019-04-18 07:13:00,3
2019-04-18 07:14:00,4
2019-04-18 07:15:00,2
2019-04-18 07:16:00,3
2019-04-18 07:17:00,3
2019-04-18 07:18:00,4
2019-04-18 07:19:00,3
2019-04-18 07:20:00,3
2019-04-18 07:21:00,3
2019-04-18 07:22:00,3
2019-04-18 07:23:00,3
2019-04-18 07:24:00,4
2019-04-18 07:25:00,1
2019-04-18 07:26:00,3
2019-04-18 07:27:00,3
2019-04-18 07:28:00,2
2019-04-18 07:29:00,3
2019-04-18 07:30:00,2
2019-04-18 07:31:00,3
2019-04-18 07:32:00,3
2019-04-18 07:33:00,3
2019-04-18 07:34:00,2
2019-04-18 07:35:00,2
2019-04-18 07:36:00,3
2019-04-18 07:37:00,3
2019-04-18 07:38:00,3
2019-04-18 07:39:00,2
2019-04-18 07:40:00,3
2019-04-18 07:41:00,2
2019-04-18 07:42:00,2
2019-04-18 07:43:00,3
2019-04-18 07:44:00,3
2019-04-18 07:45:00,3
2019-04-18 07:46:00,4
2019-04-18 07:47:00,3
2019-04-18 07:48:00,4
2019-04-18 07:49:00,4
2019-04-18 07:50:00,1
2019-04-18 07:51:00,4
2019-04-18 07:52:00,3
2019-04-18 07:53:00,3
2019-04-18 20:54:00,1
