9,"SELECT TOP #   CONVERT(DECIMAL(#,#),p.ra)--, CONVERT(DECIMAL(#,#),p.objid)--,CONVERT(DECIMAL(#,#), p.modelMag_u) FROM photoObjAll AS p"
2019-04-20 04:48:00,3
2019-04-20 04:49:00,4
2019-04-20 04:50:00,2
