1985,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, psfFlux_u, psfFlux_g, psfFlux_r, psfFlux_i, psfFlux_z, psfFluxIvar_u, psfFluxIvar_g, psfFluxIvar_r, psfFluxIvar_i, psfFluxIvar_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-04-20 00:03:00,10
2019-04-20 00:10:00,10
2019-04-20 00:16:00,8
2019-04-20 00:23:00,10
2019-04-20 00:30:00,10
2019-04-20 00:37:00,10
2019-04-20 00:41:00,5
2019-04-20 00:43:00,2
2019-04-20 00:44:00,1
2019-04-20 00:48:00,2
2019-04-20 00:49:00,8
2019-04-20 00:54:00,10
2019-04-20 01:00:00,10
2019-04-20 01:06:00,10
2019-04-20 01:11:00,3
2019-04-20 01:12:00,4
2019-04-20 01:16:00,7
2019-04-20 01:23:00,10
2019-04-20 01:28:00,5
2019-04-20 01:30:00,3
2019-04-20 01:35:00,10
2019-04-20 01:40:00,10
2019-04-20 01:45:00,10
2019-04-20 01:49:00,8
2019-04-20 01:55:00,10
2019-04-20 02:01:00,10
2019-04-20 02:06:00,10
2019-04-20 02:11:00,10
2019-04-20 02:15:00,5
2019-04-20 02:20:00,5
2019-04-20 02:21:00,5
2019-04-20 02:25:00,6
2019-04-20 02:30:00,10
2019-04-20 02:36:00,10
2019-04-20 02:41:00,10
2019-04-20 02:47:00,10
2019-04-20 02:52:00,10
2019-04-20 02:57:00,4
2019-04-20 02:58:00,6
2019-04-20 03:03:00,10
2019-04-20 03:08:00,10
2019-04-20 03:14:00,10
2019-04-20 03:20:00,10
2019-04-20 03:27:00,10
2019-04-20 03:32:00,10
2019-04-20 03:37:00,10
2019-04-20 03:42:00,10
2019-04-20 03:48:00,10
2019-04-20 03:53:00,3
2019-04-20 03:54:00,7
2019-04-20 03:59:00,10
2019-04-20 04:04:00,10
2019-04-20 04:10:00,10
2019-04-20 04:16:00,10
2019-04-20 04:21:00,7
2019-04-20 04:22:00,3
2019-04-20 04:27:00,10
2019-04-20 04:32:00,3
2019-04-20 04:33:00,7
2019-04-20 04:38:00,10
2019-04-20 04:44:00,10
2019-04-20 04:50:00,8
2019-04-20 04:51:00,2
2019-04-20 04:56:00,10
2019-04-20 05:01:00,10
2019-04-20 05:06:00,3
2019-04-20 05:07:00,7
2019-04-20 05:12:00,10
2019-04-20 05:17:00,7
2019-04-20 05:18:00,3
2019-04-20 05:23:00,10
2019-04-20 05:29:00,10
2019-04-20 05:34:00,10
2019-04-20 05:37:00,4
2019-04-20 05:40:00,4
2019-04-20 05:43:00,4
2019-04-20 05:44:00,1
2019-04-20 05:47:00,4
2019-04-20 05:50:00,2
2019-04-20 05:52:00,3
2019-04-20 05:54:00,2
2019-04-20 05:55:00,1
2019-04-20 05:56:00,1
2019-04-20 05:57:00,1
2019-04-20 05:58:00,2
2019-04-20 06:01:00,3
2019-04-20 06:02:00,1
2019-04-20 06:04:00,3
2019-04-20 06:06:00,1
2019-04-20 06:07:00,2
2019-04-20 06:09:00,1
2019-04-20 06:10:00,2
2019-04-20 06:11:00,1
2019-04-20 06:12:00,1
2019-04-20 06:13:00,2
2019-04-20 06:15:00,2
2019-04-20 06:16:00,1
2019-04-20 06:17:00,2
2019-04-20 06:19:00,2
2019-04-20 06:21:00,2
2019-04-20 06:23:00,3
2019-04-20 06:24:00,2
2019-04-20 06:26:00,2
2019-04-20 06:27:00,2
2019-04-20 06:29:00,2
2019-04-20 06:31:00,3
2019-04-20 06:33:00,2
2019-04-20 06:35:00,2
2019-04-20 06:37:00,3
