119,select * from dbo.fDocColumns(&&&)
2019-04-20 00:28:00,1
2019-04-20 00:30:00,1
2019-04-20 01:40:00,1
2019-04-20 01:52:00,1
2019-04-20 02:49:00,1
2019-04-20 04:28:00,3
2019-04-20 04:29:00,4
2019-04-20 04:30:00,5
2019-04-20 04:31:00,5
2019-04-20 04:32:00,2
2019-04-20 04:33:00,4
2019-04-20 04:34:00,6
2019-04-20 04:35:00,4
2019-04-20 04:36:00,4
2019-04-20 04:37:00,3
2019-04-20 05:02:00,2
2019-04-20 05:03:00,2
2019-04-20 05:11:00,1
2019-04-20 06:30:00,1
2019-04-20 06:45:00,2
2019-04-20 06:49:00,2
2019-04-20 07:57:00,1
2019-04-20 08:45:00,2
2019-04-20 09:03:00,1
2019-04-20 09:12:00,1
2019-04-20 09:23:00,1
2019-04-20 09:28:00,1
2019-04-20 10:29:00,1
2019-04-20 10:30:00,2
2019-04-20 10:31:00,4
2019-04-20 10:36:00,2
2019-04-20 10:48:00,1
2019-04-20 10:56:00,1
2019-04-20 11:13:00,1
2019-04-20 11:38:00,1
2019-04-20 11:41:00,1
2019-04-20 11:42:00,1
2019-04-20 12:21:00,1
2019-04-20 12:49:00,1
2019-04-20 12:55:00,1
2019-04-20 13:50:00,1
2019-04-20 15:19:00,1
2019-04-20 16:32:00,1
2019-04-20 17:11:00,1
2019-04-20 17:46:00,2
2019-04-20 18:03:00,1
2019-04-20 18:51:00,1
2019-04-20 19:04:00,1
2019-04-20 19:06:00,2
2019-04-20 20:08:00,2
2019-04-20 20:17:00,1
2019-04-20 20:25:00,3
2019-04-20 21:09:00,2
2019-04-20 21:29:00,8
2019-04-20 21:38:00,3
2019-04-20 21:42:00,1
2019-04-20 21:43:00,1
2019-04-20 21:45:00,2
2019-04-20 22:07:00,1
2019-04-20 22:17:00,1
2019-04-20 22:55:00,1
2019-04-20 23:02:00,1
2019-04-20 23:17:00,1
