22,select top # * from galaxy
2019-04-20 01:13:00,1
2019-04-20 02:03:00,1
2019-04-20 03:43:00,1
2019-04-20 04:08:00,1
2019-04-20 05:11:00,1
2019-04-20 06:44:00,1
2019-04-20 08:11:00,1
2019-04-20 08:45:00,1
2019-04-20 09:31:00,1
2019-04-20 12:09:00,1
2019-04-20 13:23:00,1
2019-04-20 13:46:00,1
2019-04-20 14:47:00,1
2019-04-20 16:32:00,1
2019-04-20 16:41:00,1
2019-04-20 17:02:00,1
2019-04-20 18:09:00,1
2019-04-20 18:11:00,1
2019-04-20 21:27:00,1
2019-04-20 21:52:00,1
2019-04-20 23:09:00,1
2019-04-20 23:43:00,1
