56,select * from wise_xmatch x join wise_allsky a on x.wise_cntr=a.cntr where x.sdss_objid=#
2019-04-20 00:19:00,4
2019-04-20 00:20:00,9
2019-04-20 00:21:00,9
2019-04-20 00:22:00,9
2019-04-20 00:23:00,4
2019-04-20 00:24:00,1
2019-04-20 01:22:00,1
2019-04-20 01:24:00,1
2019-04-20 08:14:00,1
2019-04-20 08:21:00,1
2019-04-20 10:58:00,1
2019-04-20 12:21:00,1
2019-04-20 12:54:00,1
2019-04-20 17:00:00,1
2019-04-20 18:17:00,5
2019-04-20 19:00:00,1
2019-04-20 19:57:00,1
2019-04-20 20:31:00,1
2019-04-20 20:41:00,1
2019-04-20 21:19:00,1
2019-04-20 22:56:00,1
2019-04-20 23:32:00,1
