2,"select p.objid, p.ra, p.dec, p.b, p.l, p.u, p.g, p.r, p.i, p.z, s.z as redshift, s.specobjid from star p, specobj s where p.objid=s.bestobjid and (p.htmid*# & # < (# * #))"
2019-10-20 03:15:00,1
2019-10-20 04:45:00,1
