3618,"SELECT objid,ra,dec, class, z as redshift FROM SpecPhoto WHERE z ># AND z < # AND class = GALAXY&&&"
2019-10-20 16:44:00,1
2019-10-20 16:45:00,18
2019-10-20 16:46:00,21
2019-10-20 16:47:00,18
2019-10-20 16:48:00,22
2019-10-20 16:49:00,23
2019-10-20 16:50:00,31
2019-10-20 16:51:00,26
2019-10-20 16:52:00,20
2019-10-20 16:53:00,25
2019-10-20 16:54:00,39
2019-10-20 16:55:00,42
2019-10-20 16:56:00,24
2019-10-20 16:57:00,19
2019-10-20 16:58:00,18
2019-10-20 16:59:00,16
2019-10-20 17:00:00,17
2019-10-20 17:01:00,18
2019-10-20 17:02:00,23
2019-10-20 17:03:00,28
2019-10-20 17:04:00,50
2019-10-20 17:05:00,39
2019-10-20 17:06:00,35
2019-10-20 17:07:00,32
2019-10-20 17:08:00,27
2019-10-20 17:09:00,28
2019-10-20 17:10:00,21
2019-10-20 17:11:00,22
2019-10-20 17:12:00,36
2019-10-20 17:13:00,34
2019-10-20 17:14:00,31
2019-10-20 17:15:00,28
2019-10-20 17:16:00,32
2019-10-20 17:17:00,28
2019-10-20 17:18:00,21
2019-10-20 17:19:00,20
2019-10-20 17:20:00,23
2019-10-20 17:21:00,19
2019-10-20 17:22:00,19
2019-10-20 17:23:00,31
2019-10-20 17:24:00,39
2019-10-20 17:25:00,55
2019-10-20 17:26:00,35
2019-10-20 17:27:00,24
2019-10-20 17:28:00,17
2019-10-20 17:29:00,17
2019-10-20 17:30:00,24
2019-10-20 17:31:00,28
2019-10-20 17:32:00,21
2019-10-20 17:33:00,20
2019-10-20 17:34:00,23
2019-10-20 17:35:00,17
2019-10-20 17:36:00,19
2019-10-20 17:37:00,20
2019-10-20 17:38:00,35
2019-10-20 17:39:00,29
2019-10-20 17:40:00,23
2019-10-20 17:41:00,35
2019-10-20 17:42:00,37
2019-10-20 17:43:00,30
2019-10-20 17:44:00,38
2019-10-20 17:45:00,45
2019-10-20 17:46:00,42
2019-10-20 17:47:00,28
2019-10-20 17:48:00,24
2019-10-20 17:49:00,20
2019-10-20 17:50:00,29
2019-10-20 17:51:00,29
2019-10-20 17:52:00,26
2019-10-20 17:53:00,30
2019-10-20 17:54:00,31
2019-10-20 17:55:00,25
2019-10-20 17:56:00,19
2019-10-20 17:57:00,23
2019-10-20 17:58:00,19
2019-10-20 17:59:00,17
2019-10-20 18:00:00,30
2019-10-20 18:01:00,28
2019-10-20 18:02:00,22
2019-10-20 18:03:00,38
2019-10-20 18:04:00,28
2019-10-20 18:05:00,21
2019-10-20 18:06:00,20
2019-10-20 18:07:00,17
2019-10-20 18:08:00,17
2019-10-20 18:09:00,27
2019-10-20 18:10:00,24
2019-10-20 18:11:00,22
2019-10-20 18:12:00,18
2019-10-20 18:13:00,23
2019-10-20 18:14:00,31
2019-10-20 18:15:00,28
2019-10-20 18:16:00,34
2019-10-20 18:17:00,37
2019-10-20 18:18:00,35
2019-10-20 18:19:00,28
2019-10-20 18:20:00,21
2019-10-20 18:21:00,27
2019-10-20 18:22:00,32
2019-10-20 18:23:00,42
2019-10-20 18:24:00,38
2019-10-20 18:25:00,34
2019-10-20 18:26:00,35
2019-10-20 18:27:00,25
2019-10-20 18:28:00,20
2019-10-20 18:29:00,20
2019-10-20 18:30:00,23
2019-10-20 18:31:00,30
2019-10-20 18:32:00,31
2019-10-20 18:33:00,43
2019-10-20 18:34:00,39
2019-10-20 18:35:00,39
2019-10-20 18:36:00,47
2019-10-20 18:37:00,24
2019-10-20 18:38:00,20
2019-10-20 18:39:00,21
2019-10-20 18:40:00,35
2019-10-20 18:41:00,30
2019-10-20 18:42:00,22
2019-10-20 18:43:00,20
2019-10-20 18:44:00,20
2019-10-20 18:45:00,19
2019-10-20 18:46:00,37
2019-10-20 18:47:00,39
2019-10-20 18:48:00,34
2019-10-20 18:49:00,22
2019-10-20 18:50:00,21
2019-10-20 18:51:00,29
2019-10-20 18:52:00,34
2019-10-20 18:53:00,46
2019-10-20 18:54:00,28
2019-10-20 18:55:00,25
