20536,"SELECT G.objID as sdss_ID, G.ra as RA, G.dec as DEC, G.modelMag_g as MODEL_MAG_G, G.modelMag_r as MODEL_MAG_R FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON G.objID = GN.objID JOIN Photoz as P ON P.objID = G.objID"
2019-10-20 01:25:00,19
2019-10-20 01:26:00,53
2019-10-20 01:27:00,63
2019-10-20 01:28:00,62
2019-10-20 01:29:00,59
2019-10-20 01:30:00,58
2019-10-20 01:31:00,38
2019-10-20 01:32:00,60
2019-10-20 01:33:00,58
2019-10-20 01:34:00,57
2019-10-20 01:35:00,60
2019-10-20 01:36:00,57
2019-10-20 01:37:00,59
2019-10-20 01:38:00,58
2019-10-20 01:39:00,52
2019-10-20 01:40:00,58
2019-10-20 01:41:00,58
2019-10-20 01:42:00,54
2019-10-20 01:43:00,59
2019-10-20 01:44:00,61
2019-10-20 01:45:00,62
2019-10-20 01:46:00,46
2019-10-20 01:47:00,46
2019-10-20 01:48:00,44
2019-10-20 01:49:00,48
2019-10-20 01:50:00,43
2019-10-20 01:51:00,49
2019-10-20 01:52:00,49
2019-10-20 01:53:00,54
2019-10-20 01:54:00,56
2019-10-20 01:55:00,53
2019-10-20 01:56:00,53
2019-10-20 01:57:00,56
2019-10-20 01:58:00,56
2019-10-20 01:59:00,55
2019-10-20 02:00:00,52
2019-10-20 02:01:00,52
2019-10-20 02:02:00,41
2019-10-20 02:03:00,42
2019-10-20 02:04:00,43
2019-10-20 02:05:00,38
2019-10-20 02:06:00,44
2019-10-20 02:07:00,43
2019-10-20 02:08:00,34
2019-10-20 02:09:00,43
2019-10-20 02:10:00,42
2019-10-20 02:11:00,44
2019-10-20 02:12:00,45
2019-10-20 02:13:00,44
2019-10-20 02:14:00,43
2019-10-20 02:15:00,44
2019-10-20 02:16:00,40
2019-10-20 02:17:00,44
2019-10-20 02:18:00,39
2019-10-20 02:19:00,37
2019-10-20 02:20:00,45
2019-10-20 02:21:00,43
2019-10-20 02:22:00,40
2019-10-20 02:23:00,42
2019-10-20 02:24:00,41
2019-10-20 02:25:00,11
2019-10-20 02:26:00,4
2019-10-20 02:27:00,1
2019-10-20 02:30:00,2
2019-10-20 02:31:00,2
2019-10-20 02:32:00,2
2019-10-20 02:34:00,1
2019-10-20 02:35:00,2
2019-10-20 02:36:00,1
2019-10-20 02:37:00,1
2019-10-20 02:38:00,26
2019-10-20 02:39:00,44
2019-10-20 02:40:00,45
2019-10-20 02:41:00,47
2019-10-20 02:42:00,46
2019-10-20 02:43:00,44
2019-10-20 02:44:00,45
2019-10-20 02:45:00,47
2019-10-20 02:46:00,45
2019-10-20 02:47:00,45
2019-10-20 02:48:00,48
2019-10-20 02:49:00,44
2019-10-20 02:50:00,44
2019-10-20 02:51:00,45
2019-10-20 02:52:00,45
2019-10-20 02:53:00,45
2019-10-20 02:54:00,43
2019-10-20 02:55:00,42
2019-10-20 02:56:00,41
2019-10-20 02:57:00,44
2019-10-20 02:58:00,41
2019-10-20 02:59:00,43
2019-10-20 03:00:00,46
2019-10-20 03:01:00,45
2019-10-20 03:02:00,43
2019-10-20 03:03:00,44
2019-10-20 03:04:00,35
2019-10-20 03:05:00,37
2019-10-20 03:06:00,41
2019-10-20 03:07:00,42
2019-10-20 03:08:00,37
2019-10-20 03:09:00,44
2019-10-20 03:10:00,43
2019-10-20 03:11:00,44
2019-10-20 03:12:00,44
2019-10-20 03:13:00,44
2019-10-20 03:14:00,43
2019-10-20 03:15:00,42
2019-10-20 03:16:00,40
2019-10-20 03:17:00,44
2019-10-20 03:18:00,43
2019-10-20 03:19:00,44
2019-10-20 03:20:00,43
2019-10-20 03:21:00,45
2019-10-20 03:22:00,44
2019-10-20 03:23:00,45
2019-10-20 03:24:00,46
2019-10-20 03:25:00,46
