2,"SELECT TOP #   f.N,    p.ra,    p.dec,   p.Modelmag_i,   p.z,   p.bestObjID into mydb.MyTable_# from mydb.MyTable_# f     JOIN SpecObjAll p  ON f.OBJID = p.dr7ObjID"
2019-11-07 18:44:00,1
2019-11-07 18:45:00,1
