44,"SELECT TOP # p.objid,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID AND p.u between # AND # AND p.g between # AND # AND p.i between # AND # AND p.r between # AND # AND p.z between # AND #"
2019-11-07 11:54:00,1
2019-11-07 14:30:00,2
2019-11-07 14:47:00,2
2019-11-07 14:48:00,1
2019-11-07 14:49:00,3
2019-11-07 14:50:00,1
2019-11-07 14:51:00,1
2019-11-07 14:55:00,1
2019-11-07 14:57:00,1
2019-11-07 15:00:00,1
2019-11-07 15:04:00,1
2019-11-07 15:07:00,1
2019-11-07 15:08:00,2
2019-11-07 15:13:00,1
2019-11-07 15:16:00,1
2019-11-07 15:17:00,1
2019-11-07 15:18:00,1
2019-11-07 15:19:00,2
2019-11-07 17:31:00,1
2019-11-07 20:56:00,1
2019-11-07 21:46:00,1
2019-11-07 21:49:00,2
2019-11-07 21:55:00,2
2019-11-07 21:56:00,3
2019-11-07 21:57:00,2
2019-11-07 21:58:00,1
2019-11-07 21:59:00,1
2019-11-07 22:03:00,1
2019-11-07 22:04:00,1
2019-11-07 22:05:00,1
2019-11-07 22:06:00,1
2019-11-07 22:11:00,1
2019-11-07 22:22:00,1
