23,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-11-07 16:26:00,1
2019-11-07 16:37:00,1
2019-11-07 16:44:00,1
2019-11-07 16:51:00,1
2019-11-07 16:56:00,1
2019-11-07 16:57:00,1
2019-11-07 17:00:00,1
2019-11-07 17:04:00,1
2019-11-07 19:50:00,1
2019-11-07 19:51:00,1
2019-11-07 19:52:00,1
2019-11-07 20:36:00,1
2019-11-07 20:51:00,1
2019-11-07 21:16:00,1
2019-11-07 21:21:00,1
2019-11-07 21:28:00,1
2019-11-07 21:31:00,1
2019-11-07 21:34:00,1
2019-11-07 21:36:00,1
2019-11-07 21:38:00,1
2019-11-07 21:41:00,1
2019-11-07 21:46:00,1
2019-11-07 21:48:00,1
