3,"select top #   case     when q.spectro = &&& then dbo.fSpecidFromSDSS(q.plate, q.mjd, q.fiberid, &&&)     when q.spectro = &&& then dbo.fSpecidFromSDSS(q.plate, q.mjd, q.fiberid, #)     else null       end from mydb.dr1#q as q"
2019-01-16 15:43:00,2
2019-01-16 15:44:00,1
