22,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, s.z as redshift, s.zErr as e_redshift, s.zwarning, p.petrorad_u, p.petrorad_g, p.petrorad_r, p.petrorad_i, p.petrorad_z, p.petroraderr_u, p.petroraderr_g, p.petroraderr_r, p.petroraderr_i, p.petroraderr_z from galaxy p, specobj s,  dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and(p.g BETWEEN # and #) order by p.g"
2019-01-16 04:02:00,1
2019-01-16 04:03:00,1
2019-01-16 04:05:00,1
2019-01-16 04:07:00,1
2019-01-16 04:25:00,1
2019-01-16 04:27:00,2
2019-01-16 04:28:00,1
2019-01-16 04:30:00,1
2019-01-16 07:47:00,3
2019-01-16 07:48:00,2
2019-01-16 07:51:00,1
2019-01-16 08:00:00,1
2019-01-16 08:02:00,1
2019-01-16 08:22:00,1
2019-01-16 08:33:00,1
2019-01-16 08:35:00,1
2019-01-16 08:40:00,1
2019-01-16 08:41:00,1
